Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
BLOOMINGTON PD,B22-30133,MONROE,BLOOMINGTON,BLOOMINGTON,8/4/22,11:55 PM,1,,0,0,0,,W BLOOMFIELD RD,,,,,W BLOOMFIELD RD,S PATTERSON DR,,,,Y,,0,,39.16077702,-86.54846317,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$1001 TO $2500,RAN OFF ROAD,WBLOOMFIELDRDSPATTERSONDR,0,
INDIANA UNIV BLOOMINGTON PD,223596,MONROE,BLOOMINGTON,BLOOMINGTON,9/27/22,9:00 AM,2,,0,0,0,,N FEE LN,,,,,N FEE LN,E 13TH ST,,,,Y,,0,,39.17481791,-86.51901788,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$2501 TO $5000,REAR END,NFEELNE13THST,0,
MONROE SD,M22A2700,MONROE,BLOOMINGTON,BLOOMINGTON,2/4/22,7:22 AM,2,,0,0,0,,TRAILRIDGE RD,,,,,TRAILRIDGE RD,N BRAMBLE DR,,,,N,,1000,,39.20565559,-86.47662825,,,,,RURAL,N,N,N,,DAWN/DUSK,CLOUDY,SNOW/SLUSH,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,TRAILRIDGERDNBRAMBLEDR,0,
INDIANA UNIV BLOOMINGTON PD,220493,MONROE,BLOOMINGTON,BLOOMINGTON,2/8/22,8:20 PM,2,,0,0,0,,N JORDAN AVE,,,,,N JORDAN AVE,,,,,Y,,0,,39.1812824,-86.51039514,OTHER,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$2501 TO $5000,HEAD ON BETWEEN TWO MOTOR VEHICLES,NJORDANAVE,0,
BLOOMINGTON PD,B22-18261,MONROE,BLOOMINGTON,BLOOMINGTON,5/18/22,5:59 PM,2,,2,0,0,,E 3RD ST,,,,,E 3RD ST,S COLLEGE MALL RD,,,,Y,,0,,39.16427225,-86.49812526,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$10001 TO $25000,REAR END,SCOLLEGEMALLRDE3RDST,0,
BLOOMINGTON PD,B22-08542,MONROE,BLOOMINGTON,BLOOMINGTON,3/14/22,5:47 PM,2,,0,0,0,,W GRIMES LN,,,,,W GRIMES LN,S WALNUT ST,,,,Y,,0,,39.1533534,-86.53380222,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,WGRIMESLNSWALNUTST,0,
BLOOMINGTON PD,B2204760,MONROE,PERRY,BLOOMINGTON,2/11/22,4:40 PM,3,,0,0,0,,E HILLSIDE DR,,,,,E HILLSIDE DR,S WALNUT ST,,,,Y,,0,,39.15049411,-86.53361267,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,SWALNUTSTEHILLSIDEDR,0,
BLOOMINGTON PD,B22-12474,MONROE,BLOOMINGTON,BLOOMINGTON,4/9/22,12:00 AM,2,,0,0,0,,N COLLEGE AVE,,,,,N COLLEGE AVE,W. 8TH ST,,,,Y,,50,,39.17012858,-86.53482298,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE LANE MOVEMENT,$1001 TO $2500,SAME DIRECTION SIDESWIPE,W.8THSTNCOLLEGEAVE,0,
ISP BLOOMINGTON 33,2022-00138187,MONROE,VAN BUREN,BLOOMINGTON,3/26/22,12:20 PM,2,,0,0,0,,S HARMONY RD,,,,,S HARMONY RD,W STATE RD 45,,,,N,,0,,39.11099911,-86.63821152,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,REAR END,WSTATERD45SHARMONYRD,0,
BLOOMINGTON PD,B22-30051,MONROE,BLOOMINGTON,BLOOMINGTON,8/3/22,6:35 AM,2,,0,0,0,,N MORTON ST,,,,,N MORTON ST,,,,,Y,,0,,39.16790025,-86.5361231,PRIVATE DRIVE,,,,URBAN,N,N,N,,UNKNOWN,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,UNSAFE BACKING,UNDER $1001,REAR TO REAR,NMORTONST,0,
