Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
MONROE SD,M22A9374,MONROE,PERRY,,4/25/22,7:48 AM,2,,0,0,0,,S OLD STATE ROAD 37,,,,,S OLD STATE ROAD 37,E RHORER RD,,,,N,,0,,39.1203263,-86.53133372,,,,,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,SOLDSTATEROAD37ERHORERRD,0,
BLOOMINGTON PD,B22-32301,MONROE,PERRY,BLOOMINGTON,8/18/22,5:00 PM,1,,1,0,0,,W 1ST ST,,,,,W 1ST ST,S WALNUT ST,,,,Y,,0,,39.15935447,-86.53371102,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,RIGHT ANGLE,W1STSTSWALNUTST,1,
INDIANA UNIV BLOOMINGTON PD,223101,MONROE,BLOOMINGTON,BLOOMINGTON,8/26/22,7:00 PM,2,,0,0,0,,N UNION ST,,,,,N UNION ST,N UNION CT,,,,Y,,0,,39.17473585,-86.51049841,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,UNKNOWN,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,SAME DIRECTION SIDESWIPE,NUNIONSTNUNIONCT,0,
MONROE SD,M22A19129,MONROE,VAN BUREN,,8/6/22,1:55 AM,1,,1,0,0,,W STATE RD 45,,,,,W STATE RD 45,,,,,N,,0,,39.11784416,-86.62203137,STATE ROAD,,,,RURAL,N,Y,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$5001 TO $10000,RAN OFF ROAD,WSTATERD45,0,
BLOOMINGTON PD,B22-09831,MONROE,VAN BUREN,BLOOMINGTON,3/23/22,12:18 PM,2,,0,0,0,,3415 W. 3RD ST,,,,,3415 W. 3RD ST,,,,,Y,,0,,0,0,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OVERCORRECTING/OVERSTEERING,$2501 TO $5000,BACKING CRASH,3415W.3RDST,0,
BLOOMINGTON PD,B22-12912,MONROE,BLOOMINGTON,BLOOMINGTON,4/13/22,4:27 PM,2,,0,0,0,,N KINSER PIKE,,,,,N KINSER PIKE,W 17TH ST,,,,Y,,0,,39.17906287,-86.53780271,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,W17THSTNKINSERPIKE,0,
INDIANA UNIV BLOOMINGTON PD,223269,MONROE,BLOOMINGTON,BLOOMINGTON,9/13/22,3:24 PM,2,,0,0,0,,EAGLESON AVENUE,,,,,EAGLESON AVENUE,17TH STREET,,,,Y,,300,,39.1777715,-86.51237941,,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$10001 TO $25000,BACKING CRASH,EAGLESONAVENUE17THSTREET,0,
MONROE SD,M22A20094,MONROE,BEAN BLOSSOM,BLOOMINGTON,8/17/22,4:00 AM,1,,0,0,0,,N BOTTOM RD,,,,,N BOTTOM RD,N MOUNT PLEASANT RD,,,,N,,0,,39.29515791,-86.57439636,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,BRAKE FAILURE OR DEFECTIVE,$2501 TO $5000,RAN OFF ROAD,NMOUNTPLEASANTRDNBOTTOMRD,0,
BLOOMINGTON PD,B22-23728,MONROE,BLOOMINGTON,BLOOMINGTON,6/24/22,1:11 PM,2,,0,0,0,,E 4TH ST,,,,,E 4TH ST,S GRANT ST,,,,Y,,0,,39.16556938,-86.52987293,LOCAL/CITY ROAD,,,,URBAN,N,N,Y,LANE CLOSURE,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$1001 TO $2500,SAME DIRECTION SIDESWIPE,SGRANTSTE4THST,0,
INDIANA UNIV BLOOMINGTON PD,220558,MONROE,BLOOMINGTON,BLOOMINGTON,2/13/22,5:25 PM,2,,0,0,0,,N UNION ST,,,,,N UNION ST,E 10TH ST,,,,Y,,0,,39.17158196,-86.50945924,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,SNOW,WET,,FOUR-WAY INTERSECTION,,ASPHALT,UNSAFE BACKING,$5001 TO $10000,BACKING CRASH,NUNIONSTE10THST,0,
BLOOMINGTON PD,B22-06138,MONROE,BLOOMINGTON,BLOOMINGTON,2/24/22,12:53 AM,2,,0,0,0,,N WALNUT ST,,,,,N WALNUT ST,E COTTAGE GROVE AVE,,,,Y,,0,,39.17212494,-86.53361079,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO MAINTAIN LANE,$5001 TO $10000,REAR END,NWALNUTSTECOTTAGEGROVEAVE,0,
BLOOMINGTON PD,B22-31392,MONROE,CLEAR CREEK,BLOOMINGTON,8/9/22,12:00 AM,2,,0,0,0,,S HENDERSON ST,,,,,S HENDERSON ST,S BRANDON CT,,,,Y,,0,,39.1371158,-86.52634252,PRIVATE DRIVE,,,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,SHENDERSONSTSBRANDONCT,0,
MONROE SD,M22A9637,MONROE,PERRY,BLOOMINGTON,4/28/22,9:02 AM,2,,0,0,0,,S FAIRFAX RD,,,,,S FAIRFAX RD,E SCHACHT RD,,,,N,,0,,39.10686383,-86.52368868,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,REAR END,SFAIRFAXRDESCHACHTRD,0,
MONROE SD,M22A9596,MONROE,PERRY,BLOOMINGTON,4/27/22,7:27 AM,1,,0,0,0,,E LORELEI WAY,,,,,E LORELEI WAY,S SMITH RD,,,,N,,0,,39.14662461,-86.48043908,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,DRIVER ILLNESS,$2501 TO $5000,RAN OFF ROAD,SSMITHRDELORELEIWAY,0,
ELLETTSVILLE PD,E22-03231,MONROE,RICHLAND,ELLETTSVILLE,8/26/22,9:35 PM,2,,0,0,0,,STATE RD 46,,,,,STATE RD 46,N LAKEVIEW DR,,,,Y,,581,,39.22164547,-86.60644349,STATE ROAD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,STATERD46NLAKEVIEWDR,0,
BLOOMINGTON PD,B22-42310,MONROE,BLOOMINGTON,BLOOMINGTON,10/13/22,9:46 AM,2,,2,0,0,,S. ROGERS ST,,,,,S. ROGERS ST,W. KIRKWOOD AVE,,,,Y,,0,,39.166616,-86.538689,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,LEFT TURN,W.KIRKWOODAVES.ROGERSST,0,
BLOOMINGTON PD,B22-05157,MONROE,VAN BUREN,BLOOMINGTON,2/15/22,9:15 PM,2,,1,0,0,,W 3RD ST,,,,,W 3RD ST,N GATES DR,,,,Y,,0,,39.164606,-86.57633964,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,$2501 TO $5000,REAR END,W3RDSTNGATESDR,0,
BLOOMINGTON PD,B22-05549,MONROE,BLOOMINGTON,BLOOMINGTON,2/19/22,4:50 AM,2,,0,0,0,,2300 N WALNUT ST,,,,,2300 N WALNUT ST,,,,,Y,,0,,0,0,,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$2501 TO $5000,SAME DIRECTION SIDESWIPE,2300NWALNUTST,0,
MONROE SD,M22A4319,MONROE,PERRY,BLOOMINGTON,2/23/22,7:24 AM,1,,1,0,0,,E RHORER RD,,,,,E RHORER RD,S SARE RD,,,,N,,0,,39.12141995,-86.51376246,,,,,RURAL,Y,N,N,,DAWN/DUSK,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO MAINTAIN LANE,$5001 TO $10000,RAN OFF ROAD,SSARERDERHORERRD,0,
BLOOMINGTON PD,B22-36092,MONROE,PERRY,BLOOMINGTON,9/8/22,2:35 PM,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S CLARIZZ BLVD,,,,Y,,0,,39.16417622,-86.49090604,,,,,URBAN,N,N,Y,LANE CLOSURE,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,SAME DIRECTION SIDESWIPE,SCLARIZZBLVDE3RDST,0,
MONROE SD,M22A18184,MONROE,RICHLAND,BLOOMINGTON,7/27/22,12:36 PM,2,,0,0,0,,N DEER PARK DR,,,,,N DEER PARK DR,W STATE RD 46,,,,N,,0,,39.21221405,-86.58713955,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,VIEW OBSTRUCTED,$10001 TO $25000,RIGHT ANGLE,WSTATERD46NDEERPARKDR,0,
BLOOMINGTON PD,B22-15179,MONROE,PERRY,BLOOMINGTON,4/27/22,5:40 PM,2,,2,0,0,,W GORDON PIKE,,,,,W GORDON PIKE,S OLD STATE ROAD 37,,,,Y,,0,,39.12146209,-86.53140907,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,WGORDONPIKESOLDSTATEROAD37,0,
MONROE SD,M22A15840,MONROE,BLOOMINGTON,BLOOMINGTON,7/3/22,6:10 AM,1,,0,0,0,,I-69,,,,,I-69,,,,,N,,0,,39.05784361,-86.68127898,INTERSTATE,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,$10001 TO $25000,RAN OFF ROAD,I-69,0,
MONROE SD,M22A17193,MONROE,WASHINGTON,BLOOMINGTON,7/17/22,7:13 PM,1,,0,0,0,,I-69,,,,,I-69,,,127.5,,N,,100,,39.30067937,-86.51797837,INTERSTATE,,,,RURAL,N,Y,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,$10001 TO $25000,OTHER - EXPLAIN IN NARRATIVE,I-69127.5,0,
INDIANA UNIV BLOOMINGTON PD,223135,MONROE,BLOOMINGTON,BLOOMINGTON,9/7/22,1:05 PM,1,,1,0,0,,E 7TH ST,,,,,E 7TH ST,STADIUM DR.,,,,Y,,0,,39.16883236,-86.5170706,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,CELL PHONE USAGE,UNDER $1001,COLLISION WITH OBJECT IN ROAD,STADIUMDR.E7THST,1,
BLOOMINGTON PD,B22-16376,MONROE,BLOOMINGTON,BLOOMINGTON,5/5/22,5:50 PM,2,,1,0,0,,S PARK AVE,,,,,S PARK AVE,E UNIVERSITY ST,,,,Y,,0,,39.16036,-86.523999,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,SPARKAVEEUNIVERSITYST,0,
BLOOMINGTON PD,B22-25683,MONROE,BLOOMINGTON,BLOOMINGTON,7/6/22,2:12 PM,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S JEFFERSON ST,,,,Y,,0,,39.16429915,-86.50677243,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,SAME DIRECTION SIDESWIPE,SJEFFERSONSTE3RDST,0,
BLOOMINGTON PD,B22-10677,MONROE,PERRY,BLOOMINGTON,3/29/22,12:23 PM,2,,0,0,0,,S. COLLEGE MALL RD,,,,,S. COLLEGE MALL RD,E. 3RD ST,,,,Y,,250,,39.1641843,-86.4983686,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DRIVER ASLEEP OR FATIGUED,$2501 TO $5000,REAR END,S.COLLEGEMALLRDE.3RDST,0,
BLOOMINGTON PD,B22-28907,MONROE,PERRY,BLOOMINGTON,7/28/22,1:30 PM,2,,0,0,0,1175,S COLLEGE MALL RD,,,,,S COLLEGE MALL RD,,,,,Y,,0,,39.15281047,-86.497591,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,SCOLLEGEMALLRD,0,
MONROE SD,M22A19801,MONROE,RICHLAND,BLOOMINGTON,8/13/22,11:11 PM,1,,0,0,0,,W DELAP RD,,,,,W DELAP RD,N WOODALL RD,,,,N,,0,,39.26083705,-86.58344004,COUNTY ROAD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$5001 TO $10000,RAN OFF ROAD,WDELAPRDNWOODALLRD,0,
MONROE SD,M22A10939,MONROE,VAN BUREN,BLOOMINGTON,5/12/22,3:37 PM,2,,0,0,0,,W STATE RD 45,,,,,W STATE RD 45,INDUSTRIAL BLVD,,,,Y,,0,,39.14359008,-86.58024596,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,LEFT TURN,WSTATERD45INDUSTRIALBLVD,0,
BLOOMINGTON PD,B22-17399,MONROE,PERRY,BLOOMINGTON,5/12/22,3:11 PM,2,,0,0,0,315,W 2ND ST,,,,,W 2ND ST,,,,,Y,,0,,39.16041568,-86.54284604,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,REAR TO REAR,W2NDST,0,
MONROE SD,M22A21450,MONROE,RICHLAND,BLOOMINGTON,9/1/22,7:59 AM,2,,0,0,0,,W LOST MANS LN,,,,,W LOST MANS LN,WHITE RIVER DR,,,,N,,0,,39.2228359,-86.5873529,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$5001 TO $10000,BACKING CRASH,WHITERIVERDRWLOSTMANSLN,0,
DNR LAW ENFORCEMENT,06-22-00290,MONROE,BENTON,BLOOMINGTON,2/7/22,2:59 PM,1,,0,0,0,,FOREST RD,,,,,FOREST RD,,,,,N,,0,,39.32397649,-86.46786279,COUNTY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,SNOW/SLUSH,,NO JUNCTION INVOLVED,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$5001 TO $10000,RAN OFF ROAD,FORESTRD,0,
BLOOMINGTON PD,B22-16153,MONROE,BLOOMINGTON,BLOOMINGTON,5/4/22,1:14 PM,2,,0,0,0,,S OVERHILL DR,,,,,S OVERHILL DR,E 3RD ST,,,,Y,,0,,39.16426809,-86.50165505,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,SOVERHILLDRE3RDST,0,
MONROE SD,M22A23081,MONROE,VAN BUREN,BLOOMINGTON,9/19/22,8:02 AM,2,,0,0,0,,W AIRPORT RD,,,,,W AIRPORT RD,W STATE RD 45,,,,Y,,0,,39.13653134,-86.59471472,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,IMPROPER LANE USAGE,$5001 TO $10000,HEAD ON BETWEEN TWO MOTOR VEHICLES,WSTATERD45WAIRPORTRD,0,
BLOOMINGTON PD,B2202870,MONROE,BLOOMINGTON,BLOOMINGTON,1/26/22,3:40 PM,3,,0,0,0,,S SPICEWOOD LN,,,,,S SPICEWOOD LN,E ROGERS RD,,,,Y,,0,,39.1360131,-86.50088789,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$10001 TO $25000,REAR END,SSPICEWOODLNEROGERSRD,0,
MONROE SD,M22A13302,MONROE,BLOOMINGTON,BLOOMINGTON,6/6/22,10:40 PM,1,,1,0,0,,I-69,,,,,I-69,,,,,N,,0,,39.23816757,-86.53867532,STATE ROAD,,,,RURAL,N,Y,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO MAINTAIN LANE,$5001 TO $10000,RAN OFF ROAD,I-69,0,
BLOOMINGTON PD,B22-04250,MONROE,BLOOMINGTON,BLOOMINGTON,2/7/22,7:23 PM,2,,0,0,0,,N ADAMS ST,,,,,N ADAMS ST,W KIRKWOOD AVE,,,,Y,,0,,39.16677191,-86.54964871,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,WKIRKWOODAVENADAMSST,0,
BLOOMINGTON PD,B22-40712,MONROE,PERRY,BLOOMINGTON,10/4/22,5:26 PM,2,,0,0,0,,W GRIMES LN,,,,,W GRIMES LN,S WALNUT ST,,,,Y,,0,,39.15335381,-86.5338714,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,WGRIMESLNSWALNUTST,0,
ISP BLOOMINGTON 33,2.022E+11,MONROE,SALT CREEK,BLOOMINGTON,8/6/22,1:25 PM,1,,0,0,0,,STATE RD 446,,,,,STATE RD 446,,,,,N,,0,,39.08126009,-86.41862817,STATE ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ENGINE FAILURE OR DEFECTIVE,$25001 TO $50000,NON-COLLISION,STATERD446,0,
BLOOMINGTON PD,B22-21667,MONROE,BLOOMINGTON,BLOOMINGTON,6/10/22,11:23 AM,2,,0,0,0,,S ROGERS ST,,,,,S ROGERS ST,,,,,Y,,0,,,,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,SROGERSST,0,
MONROE SD,M22A11049,MONROE,BEAN BLOSSOM,,5/13/22,8:00 PM,2,,1,0,0,,W SR 46,,,,,W SR 46,N STINESVILLE RD,,,,N,,1000,,39.31659595,-86.86856764,STATE ROAD,,,,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,SAME DIRECTION SIDESWIPE,WSR46NSTINESVILLERD,0,
BLOOMINGTON PD,B22-07126,MONROE,BLOOMINGTON,BLOOMINGTON,3/3/22,7:48 PM,2,,0,0,0,,E 7TH ST,,,,,E 7TH ST,N DUNN ST,,,,Y,,0,,39.16851593,-86.52825541,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,NDUNNSTE7THST,0,
MONROE SD,M22A12749,MONROE,RICHLAND,BLOOMINGTON,6/1/22,1:27 PM,2,,0,0,0,,W SR 46,,,,,W SR 46,N CURRY PIKE,,,,N,,0,,39.193728,-86.571154,STATE ROAD,,,,RURAL,N,Y,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER LANE USAGE,$2501 TO $5000,SAME DIRECTION SIDESWIPE,WSR46NCURRYPIKE,0,
BLOOMINGTON PD,B22-04749,MONROE,PERRY,BLOOMINGTON,2/11/22,3:32 PM,2,,0,0,0,,S BAINBRIDGE DR,,,,,S BAINBRIDGE DR,E ALLENDALE DR,,,,N,,0,,39.13071043,-86.51969364,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,SBAINBRIDGEDREALLENDALEDR,0,
ELLETTSVILLE PD,E22000696,MONROE,RICHLAND,ELLETTSVILLE,2/24/22,4:09 PM,2,0,0,0,0,,,,SR46W,,,SR46W,LAKEVIEW,,,,Y,,,,39.221152,-86.6056,STATE ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,LAKEVIEWDRSR46W,0,NONE
MONROE SD,M22A14735,MONROE,RICHLAND,BLOOMINGTON,6/22/22,9:45 AM,2,,0,0,0,,N CURRY PIKE,,,,,N CURRY PIKE,STATE RD 46,,,,N,,158,,39.19357076,-86.57172865,LOCAL/CITY ROAD,,,,URBAN,N,N,Y,LANE CLOSURE,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE LANE MOVEMENT,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,STATERD46NCURRYPIKE,0,
MONROE SD,M22A10871,MONROE,,BLOOMINGTON,5/12/22,5:58 AM,1,,0,0,1,,N SHUFFLE CREEK RD,,,,,N SHUFFLE CREEK RD,S SHORE DR,,,,N,,3500,,39.251336,-86.400888,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN ROADWAY,$2501 TO $5000,COLLISION WITH DEER,SSHOREDRNSHUFFLECREEKRD,0,
BLOOMINGTON PD,B22-31826,MONROE,BLOOMINGTON,BLOOMINGTON,8/16/22,11:43 AM,2,,0,0,0,,STATE RD 46,,,,,STATE RD 46,E 7TH ST,,,,Y,,0,,39.1677022,-86.50022174,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,UNSAFE LANE MOVEMENT,$5001 TO $10000,SAME DIRECTION SIDESWIPE,STATERD46E7THST,0,
INDIANA UNIV BLOOMINGTON PD,222645,MONROE,BLOOMINGTON,BLOOMINGTON,8/14/22,6:00 PM,2,,0,0,0,,E 10TH ST,,,,,E 10TH ST,,,,,Y,,0,,39.17182239,-86.51257376,PRIVATE DRIVE,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,E10THST,0,
INDIANA UNIV BLOOMINGTON PD,222345,MONROE,BLOOMINGTON,BLOOMINGTON,7/8/22,4:55 PM,1,,0,0,1,,STATE RD 45,,,,,STATE RD 45,,,,,N,,0,,39.18497251,-86.51574559,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN ROADWAY,$2501 TO $5000,COLLISION WITH DEER,STATERD45,0,
BLOOMINGTON PD,B22-30694,MONROE,PERRY,BLOOMINGTON,8/8/22,5:50 PM,2,,0,0,0,840,S CORY LANE,,,,,S CORY LANE,,,,,Y,,0,,39.15781803,-86.56204454,PRIVATE DRIVE,,,,RURAL,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$2501 TO $5000,LEFT TURN,SCORYLANE,0,
ISP BLOOMINGTON 33,2.022E+11,MONROE,WASHINGTON,BLOOMINGTON,8/23/22,1:30 PM,1,,1,0,0,,I-69,,,,,I-69,,,,,N,,1478,,39.3361344,-86.51086507,INTERSTATE,,,,RURAL,N,Y,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,DRIVER ILLNESS,$2501 TO $5000,RAN OFF ROAD,I-69,0,
BLOOMINGTON PD,B22-25315,MONROE,BLOOMINGTON,BLOOMINGTON,7/4/22,4:40 PM,1,,0,0,0,,E COVENANTER DR,,,,,E COVENANTER DR,S COLLEGE MALL RD,,,,Y,,0,,39.15516107,-86.49763036,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO MAINTAIN LANE,$10001 TO $25000,RAN OFF ROAD,SCOLLEGEMALLRDECOVENANTERDR,0,
BLOOMINGTON PD,B22-41108,MONROE,BLOOMINGTON,BLOOMINGTON,10/6/22,4:52 PM,2,,0,0,0,,N DUNN ST,,,,,N DUNN ST,E VARSITY LN,,,,Y,,0,,39.18459393,-86.52831105,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,NDUNNSTEVARSITYLN,0,
