_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
1896,DNR LAW ENFORCEMENT,BLOOMINGTON,3,,1.0,0,0,,,,CUTRIGHT STATE RECREATION AREA RD,,,0.0,,39.06942627,-86.41577429,ST RD,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,HEAD ON BETWEEN TWO MOTOR VEHICLES,StateRd446,,2021-06-12 06:04:00,,,
1897,MONROE SD,BLOOMINGTON,1,0.0,2.0,0,0,5094,,,ST RD 45,,,500.0,N,39.23076054,-86.42586167,ST RD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,NMOUNTGILEADRDST RD 45E,NO PASSING ZONE,2021-06-12 08:50:00,,,
1898,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,ST RD 46,N GETTYS CREEK RD,,100.0,W,39.16292863,-86.41477489,ST RD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,INSECURE/LEAKY LOAD,NON-COLLISION,NGETTYSCREEKRDST RD 46E,NONE,2021-06-12 14:33:00,,,
1899,MONROE SD,BLOOMINGTON,2,0.0,2.0,0,0,,,,ST RD 37,W SMITHVILLE RD,,,,39.071056,-86.5356,ST RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SMITHVILLERDS ST RD 37,STOP SIGN,2021-06-12 23:35:00,,,
1900,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,S CURRY PK,W ROLL AVE,,100.0,S,39.14716534,-86.582592,LOCAL/CITY RD,N,RURAL,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,CURRYPKROLLAVE,LN CONTROL,2021-06-11 03:41:00,,,
1901,MONROE SD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,ST RD 46,W ARLINGTON RD,,,,39.207648,-86.573792,ST RD,N,URBAN,N,N,N,,DAWN/DUSK,FOG/SMOKE/SMOG,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,NARLINGTONRDST RD 46 W,TRAFFIC CONTROL SIGNAL,2021-06-11 07:18:00,,,
1902,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,ST RD 46,N BRIAR GATE DR,,70.0,W,39.216569,-86.59632793,ST RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,BRIARGATEDRST RD 46 W,LN CONTROL,2021-06-11 11:21:00,,,
1903,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,ST RD 48,S GATES DR,,,,0.0,0.0,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER LN USAGE,SAME DIRECTION SIDESWIPE,NGATESDRW 3RDST,TRAFFIC CONTROL SIGNAL,2021-06-11 12:41:00,,,
1904,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S HIGHLAND AVE,E HILLSIDE DR,,300.0,S,39.11881807,-86.516971,LOCAL/CITY RD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,IMPROPER LN USAGE,SAME DIRECTION SIDESWIPE,HIGHLANDAVEHILLSIDEDR,NONE,2021-06-11 14:30:00,,,
1905,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,ST RD 46,N CENTENNIAL DR,,,,39.210144,-86.5832,ST RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SMITHPKPKST RD 46 W,TRAFFIC CONTROL SIGNAL,2021-06-11 15:54:00,,,
1906,ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0,0,,,,S CURRY PK,W GRAND AVE,,0.0,,39.16651717,-86.58299437,LOCAL/CITY RD,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,WGrandAveSCurryPike,,2021-06-11 16:20:00,,,
1907,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N PROFILE PKWY,W ZENITH DR,,0.0,S,39.170452,-86.592414,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE SPEED,RIGHT ANGLE,NPROFILEPKWYWZENITHDR,STOP SIGN,2021-06-11 16:30:00,,,
1908,MONROE SD,BLOOMINGTON,1,0.0,2.0,0,0,,,,E ROBINSON RD,,,5000.0,W,39.240641,-86.44275178,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,UNSAFE SPEED,RAN OFF RD,ENEHRTRDEROBINSONRD,LN CONTROL,2021-06-11 17:50:00,,,
1909,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W COUNTRY CLUB DR,ENTRANCE TO FAIRWAY APARTMENTS,,200.0,W,39.136219,-86.54480969,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,WET,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SOUTHBANTAAVEWESTCOUNTRYCLUBDR,LN CONTROL,2021-06-11 18:20:00,,,
1910,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S COLLEGE MALL RD,E MOORES PK,,,,39.1504793,-86.4983465,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EMOORESPKSCOLLEGEMALLRD,TRAFFIC CONTROL SIGNAL,2021-06-11 23:55:00,,,
1911,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S DUNLAP RD,,,1000.0,N,39.21343819,-86.619624,COUNTY RD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,IMPROPER LN USAGE,OPPOSITE DIRECTION SIDESWIPE,DUNLAPRDISONRD,NONE,2021-06-10 14:46:00,,,
1912,MONROE SD,ELLETTSVILLE,1,0.0,1.0,0,0,,,,N SMITH PK,ST RD 46,,,,0.0,0.0,UNKNOWN,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE SPEED,RAN OFF RD,NCENTENNIALDRST RD 46 W,TRAFFIC CONTROL SIGNAL,2021-06-10 19:18:00,,,
1913,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W TAPP RD,S ADAMS ST,,,,39.136676,-86.5544,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,TRAFFIC CIRCLE/ROUNDABOUT,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,REAR END,SADAMSSTWTAPPRD,YIELD SIGN,2021-06-10 22:58:00,,,
1914,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S WESTERN DR,W MIDDLE CT,,100.0,N,39.17005906,-86.586868,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,SOUTHWESTERNDRWESTMIDDLECT,NONE,2021-06-09 10:40:00,,,
1915,ISP BLOOMINGTON 33,BLOOMINGTON,1,,0.0,0,0,,,,I-69 S,,,0.0,,39.20929338,-86.55397723,INTERSTATE,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF RD,I-69121.5,,2021-06-09 13:38:00,,,
1916,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,1674,,,E MOFFETT LN,,,,,39.098542,-86.514229,UNKNOWN,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,NON-RDWAY CRASH,ASPHALT,UNSAFE BACKING,BACKING CRASH,EMOFFETTLN,NONE,2021-06-09 13:48:00,,,
1917,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N HEADLEY RD,N HINKLE RD,,,,39.198039,-86.513288,COUNTY RD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,IMPROPER LN USAGE,OPPOSITE DIRECTION SIDESWIPE,HEADLYRDHINKLERD,NONE,2021-06-09 15:43:00,,,
1918,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,S LIBERTY DR,ENTRANCE TO BLOOM INSURANCE,,250.0,S,39.149552,-86.575936,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,CONCRETE,FOLLOWING TOO CLOSELY,REAR END,SLIBERTYDRWCONSTITUTIONAVE,NONE,2021-06-09 15:55:00,,,
1919,MONROE SD,BLOOMINGTON,2,0.0,2.0,0,0,,,,S WALNUT ST PK,E RHORER RD,,,,39.12144,-86.526496,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,RHORERRDWALNUTSTPK,TRAFFIC CONTROL SIGNAL,2021-06-09 16:17:00,,,
1920,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,3,0.0,1.0,0,0,,,,ST RD 45,N PETE LLIS DR,,,,0.0,0.0,ST RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,REAR END,RANGERDST RD 45,NONE,2021-06-09 17:05:00,,,
1921,BLOOMINGTON PD,BLOOMINGTON,3,0.0,2.0,0,0,,,,ST RD 45,N PETE LLIS DR,,200.0,E,39.171504,-86.495312,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,LEFT TURN,E 10THSTPETEELLISDR,LN CONTROL,2021-06-09 17:25:00,,,
1922,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,Y,W BLOOMFIELD RD,I-69 N,,,,0.0,0.0,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,SAME DIRECTION SIDESWIPE,INTERSTATE69NORTHBOUNDRAMPSTWESTBLOOMFIELDRD,TRAFFIC CONTROL SIGNAL,2021-06-09 18:43:00,,,
1923,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W HOWE ST,S FAIRVIEW ST,,150.0,E,0.0,0.0,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,TRAFFIC CONTROL INOPERATIVE/MISSING/OBSC,OTHER - EXPLAIN IN NARRATIVE,2NDSTHOWEST,NONE,2021-06-08 05:40:00,,,
1924,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N ROGERS ST,W 8TH ST,,,,39.169584,-86.538576,LOCAL/CITY RD,N,URBAN,Y,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,400NROGERSSTW8THST,STOP SIGN,2021-06-08 08:52:00,,,
1925,BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0,0,,,,ST RD 46,S CLARIZZ BLVD,,,,39.16424,-86.4908,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,E 3RDSTSCLARIZZBLVD,TRAFFIC CONTROL SIGNAL,2021-06-08 16:03:00,,,True
1926,BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0,0,,,,S LEONARD SPRINGS RD,W TAPP RD,,,,39.13704,-86.582512,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SLEONARDSPRINGSRDWTAPPRD,NONE,2021-06-08 16:33:00,,,
1927,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,S FAIRFAX RD,E SCHACHT RD,,100.0,S,39.09632314,-86.523763,LOCAL/CITY RD,N,RURAL,N,Y,N,,DAYLIGHT,CLOUDY,WET,,T-INTERSECTION,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF RD,ESCHACHTRDSFARIFAXRD,NONE,2021-06-08 17:14:00,,,
