Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,S EAGLESON AVE,E JONES AVE,,,,39.1654211,-86.5163693,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE SPEED,LEFT TURN,EJONESAVEEAGLESON AVEAVE,NONE,2020-10-31 00:12:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,912.0,,,S COPPER BEECH WAY,,,,,0.0,0.0,UNKNOWN,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,COPPERBEACHWAY,NONE,2020-10-31 00:30:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,1,,,,I-69 S,,,300.0,S,0.0,0.0,INTERSTATE,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,CONCRETE,ANIMAL/OBJECT IN RDWAY,COLLISION WITH DEER,I-69S109.5,NONE,2020-10-31 01:33:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0,2277.0,,,N MT GILEAD RD,,,,,39.1888393,-86.4612113,LOCAL/CITY RD,Y,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,NMTGILEADRD,LN CONTROL,2020-10-31 03:20:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,1,,,,I-69 N,,,0.0,N,0.0,0.0,INTERSTATE,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN RDWAY,COLLISION WITH DEER,I-69 N124.5,NONE,2020-10-31 04:15:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,1,,,,ST RD 37,W MONROE DAM RD,,,,0.0,0.0,ST RD,N,RURAL,N,Y,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,RAMP,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN RDWAY,COLLISION WITH DEER,HARRODSBURGEXITRDS ST RD 37,LN CONTROL,2020-10-31 07:23:00,,,
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,W VERNAL PK,N CURRY PK,,,,39.179248,-86.5832,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NORTHCURRYPKWESTVERNALPK,TRAFFIC CONTROL SIGNAL,2020-10-31 12:02:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0,,,,ST RD 45/46,E DISCOVERY PKWY,,,,0.0,0.0,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,RANGERDST RD 45,TRAFFIC CONTROL SIGNAL,2020-10-31 12:20:00,,,
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,ST RD 46,N CENTENNIAL DR,,50.0,E,39.21005745,-86.58306296,ST RD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NORTHSMITHPKST RD 46 W,TRAFFIC CONTROL SIGNAL,2020-10-31 12:33:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,N MONROE ST,W ARLINGTON VALLEY DR,,50.0,S,39.182288,-86.54688,LOCAL/CITY RD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,OPPOSITE DIRECTION SIDESWIPE,NMONROESTWARLINGTONVALLEYDR,NONE,2020-10-31 15:49:00,,,
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,S ROGERS ST,S WALNUT ST,,,,39.099408,-86.537904,COUNTY RD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SOLDSTATE37RDSROGERSST,STOP SIGN,2020-10-31 17:36:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,1,,,,ST RD 48,,,700.0,E,39.16344396,-86.64723023,ST RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN RDWAY,COLLISION WITH DEER,GARRISONCHAPELRDST RD 48W,NONE,2020-10-31 20:16:00,,,
