_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
766,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,4115,,,S ROGERS ST,,,100.0,S,39.16461152450707,-86.53483461178769,LOCAL/CITY RD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,ESTATEDRSOUTHROGERSST,NONE,2021-10-16 15:30:00,,,
767,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,ST RD 45/46,WALNUT KNOLLS APARTMENT DR,,,,39.17415,-86.54714,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,PRIVATEDRST RD 4546BYP,NONE,2021-10-16 16:17:00,,,
768,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N EAGLESON AVE,E LAW LN,,,,39.1645034553262,-86.57327420184974,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LN MOVEMENT,SAME DIRECTION SIDESWIPE,ELAWLNEAGLESON AVEAVE,TRAFFIC CONTROL SIGNAL,2021-10-16 16:45:00,,,
769,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E 7TH ST,N DUNN ST,,,,39.17042476986551,-86.54115700853012,LOCAL/CITY RD,N,URBAN,N,N,Y,WORK ON SHOULDER,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EAST7THSTNDUNNST,STOP SIGN,2021-10-16 16:45:00,,,
770,BLOOMINGTON PD,BLOOMINGTON,2,0.0,4.0,0,0,,,,ST RD 46,KINGSTON DR S,,,,39.16444217447657,-86.56016591052531,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,CELL PHONE USAGE,REAR END,SKINGSTONDRW 3RDST,TRAFFIC CONTROL SIGNAL,2021-10-16 19:10:00,,,
771,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,I-69 N,,,80.0,N,39.16420435493265,-86.51644404075405,INTERSTATE,N,RURAL,N,Y,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN RDWAY,COLLISION WITH DEER,I-69 N108,NONE,2021-10-16 21:12:00,,,
772,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,S WALNUT ST PK,E CARDINAL GLEN DR,,1000.0,S,39.16852,-86.52979,COUNTY RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,ECARDINALGLENNDRSWALNUTSTPK,LN CONTROL,2021-10-15 04:02:00,,,
773,MONROE SD,ELLETTSVILLE,2,0.0,2.0,0,0,,,,N UNION VALLEY RD,W MCNEELY ST,,,,39.143588886052875,-86.58031405811721,LOCAL/CITY RD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,WET,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,NUNIONVALLEYRDWMCNEELYST,STOP SIGN,2021-10-15 12:00:00,,,
774,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N WALNUT ST,E 6TH ST,,,,,,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E6THSTNWALNUTST,TRAFFIC CONTROL SIGNAL,2021-10-15 12:24:00,,,
775,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,5237,,,W VERNAL PK,N ANGELINA LN,,500.0,E,39.18629,-86.5319,LOCAL/CITY RD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,DRIVER ILLNESS,RAN OFF RD,ANGELINALNVERNALPK,NONE,2021-10-15 14:44:00,,,
776,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E 8TH ST,N LINCOLN ST,,,,39.173402920302344,-86.51548341255152,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EAST8THSTNORTHLINCOLNST,STOP SIGN,2021-10-15 14:52:00,,,
777,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,N WALNUT ST,ST RD 45/46,,,,39.16850550960561,-86.52825955090324,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NWALNUTSTST RD 4546BYP,TRAFFIC CONTROL SIGNAL,2021-10-15 15:00:00,,,
778,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E HILLSIDE DR,S WASHINGTON ST,,,,39.1734077515177,-86.51547097983436,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EASTHILLSIDEDRSOUTHWASHINGTONST,STOP SIGN,2021-10-15 15:47:00,,,
779,ISP BLOOMINGTON 33,,2,,0.0,0,0,,,,ST RD 37,,,500.0,S,39.168507506501165,-86.52825229083552,ST RD,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,,SAME DIRECTION SIDESWIPE,StateRd37.S.ZikesRd,,2021-10-15 16:58:00,,,
780,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,1307,,,S ADAMS ST,ENTRANCE TO MARATHON GAS STATION,,,,39.164173162708266,-86.4930893615008,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,W 3RDST,NONE,2021-10-15 17:00:00,,,
781,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W ARLINGTON RD,,,500.0,N,,,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF RD,WEST17THSTWESTARLINGTONRD,LN CONTROL,2021-10-15 18:26:00,,,
