_id,Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
24,BLOOMINGTON PD,BLOOMINGTON,2022-01-21T00:00:00,4:25 PM,2,,0,0,0,"","","",W COUNTRY CLUB DR,"","",0,"",39.13616036,-86.54182075,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WCOUNTRYCLUBDR,""
25,MONROE SD,BLOOMINGTON,2022-01-17T00:00:00,5:40 AM,1,,0,0,0,"","","",S VICTOR PIKE,W TRAMWAY RD,"",0,"",39.085787,-86.566236,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),SNOW,ICE,"",T-INTERSECTION,"",ASPHALT,ROADWAY SURFACE CONDITION,RAN OFF ROAD,WTRAMWAYRDSVICTORPIKE,""
26,ISP BLOOMINGTON 33,BLOOMINGTON,2022-01-18T00:00:00,8:40 AM,1,,0,0,0,"","","",I69 - 123 - C,"","",0,"",39.23460747,-86.54166778,INTERSTATE,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,ICE,"",RAMP,"",ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,"",I69-123-C,""
27,BLOOMINGTON PD,BLOOMINGTON,2022-01-07T00:00:00,10:00 AM,2,,0,0,0,"","","",S. PATTERSON DR,W. 2ND ST.,"",0,"",39.160737,-86.548536,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,UNSAFE BACKING,COLLISION WITH ANIMAL OTHER,W.2NDST.S.PATTERSONDR,""
28,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-23T00:00:00,12:15 PM,2,,0,0,0,"","","",E ATWATER AVE,S HAWTHORNE DR,"",0,"",39.16306467,-86.52023024,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SHAWTHORNEDREATWATERAVE,""
29,BLOOMINGTON PD,BLOOMINGTON,2022-01-16T00:00:00,12:30 AM,1,,0,0,0,"","","",N WASHINGTON ST,E KIRKWOOD AVE,"",0,"",39.16679756,-86.53236724,"","",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,NWASHINGTONSTEKIRKWOODAVE,""
30,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-09T00:00:00,4:50 PM,1,,0,0,0,"","","",E 10TH ST,N JEFFERSON ST,"",0,"",39.17167392,-86.50676019,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,BRAKE FAILURE OR DEFECTIVE,RAN OFF ROAD,NJEFFERSONSTE10THST,""
31,BLOOMINGTON PD,BLOOMINGTON,2022-01-03T00:00:00,5:10 PM,2,,0,0,0,"","","",W BLOOMFIELD RD,S RANSOM LN,"",0,"",39.15911417,-86.55553915,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WBLOOMFIELDRDSRANSOMLN,""
32,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-02-09T00:00:00,8:50 PM,2,,0,0,0,"","","",E 3RD ST,S FACULTY AVE,"",0,"",39.16426116,-86.52160768,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLOUDY,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SFACULTYAVEE3RDST,""
33,BLOOMINGTON PD,BLOOMINGTON,2022-01-20T00:00:00,4:00 AM,1,,0,0,0,"","","",I 69 SOUTHBOUND,"","",0,"",0,0,INTERSTATE,"",RURAL,N,Y,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,DRIVER ASLEEP OR FATIGUED,OTHER - EXPLAIN IN NARRATIVE,I69SOUTHBOUND119,""
