_id,Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
965,BLOOMINGTON PD,BLOOMINGTON,2022-05-24T00:00:00,12:31 PM,2,,0,0,0,"","","",E. 3RD ST,S WOODSCREST DR,"",0,"",39.164239,-86.502437,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,SWOODSCRESTDRE.3RDST,""
966,BLOOMINGTON PD,BLOOMINGTON,2022-01-29T00:00:00,2:53 PM,2,,0,0,0,"","","",2200 W. 3RD ST,"","",0,"",0,0,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,2200W.3RDST,""
967,BLOOMINGTON PD,BLOOMINGTON,2022-04-25T00:00:00,6:16 PM,2,,0,0,0,"","","",W 3RD ST,I-69 OVERPASS,"",53,"",39.16465906,-86.57289094,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",CONCRETE,FOLLOWING TOO CLOSELY,REAR END,W3RDSTI-69OVERPASS,""
968,MONROE SD,BLOOMINGTON,2022-05-28T00:00:00,11:36 AM,2,,0,0,0,"","","",E 10TH ST,E ETTER DR,"",0,"",39.17598691,-86.47983538,STATE ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,LEFT OF CENTER,LEFT TURN,EETTERDRE10THST,""
969,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-02-04T00:00:00,3:59 PM,2,,0,0,0,2901,"","",E DISCOVERY PARKWAY,"","",0,"",39.17743058,-86.49343633,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,SNOW/SLUSH,"",NO JUNCTION INVOLVED,"",CONCRETE,UNSAFE BACKING,BACKING CRASH,EDISCOVERYPARKWAY,""
970,MONROE SD,BLOOMINGTON,2022-05-03T00:00:00,9:15 PM,1,,0,0,0,"","","",STATE RD 37,"","",0,"",39.09517018,-86.54640978,STATE ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLOUDY,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,ANIMAL/OBJECT IN ROADWAY,OTHER - EXPLAIN IN NARRATIVE,STATERD37,""
971,BLOOMINGTON PD,BLOOMINGTON,2022-04-01T00:00:00,11:30 AM,2,,0,0,0,"","","",E 10TH ST,N LINCOLN ST,"",0,"",39.17167059,-86.53105885,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NLINCOLNSTE10THST,""
972,MONROE SD,"",2022-03-18T00:00:00,1:26 PM,2,,1,0,0,4025,"","",S OLD STATE ROAD 37,"","",0,"",39.12029493,-86.53073431,"","",RURAL,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SOLDSTATEROAD37,""
973,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-02-04T00:00:00,3:40 PM,2,,0,0,0,2651,"","",E. DISCOVERY PKWY,"","",0,"",39.17645432,-86.50180138,OTHER,"",URBAN,N,N,N,"",DAYLIGHT,SNOW,SNOW/SLUSH,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E.DISCOVERYPKWY,""
974,BLOOMINGTON PD,BLOOMINGTON,2022-03-02T00:00:00,3:30 AM,1,,0,0,0,"","","",E 3RD ST,S INDIANA AVE,"",0,"",39.16437623,-86.52714676,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,OVERCORRECTING/OVERSTEERING,OTHER - EXPLAIN IN NARRATIVE,SINDIANAAVEE3RDST,""
975,MONROE SD,BLOOMINGTON,2022-04-30T00:00:00,9:22 PM,2,,0,0,0,"","","",I-69 SOUTHBOUND 129.5,"","",739,"",39.31562198,-86.51215433,INTERSTATE,"",RURAL,N,N,N,"",DARK (NOT LIGHTED),RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,I-69SOUTHBOUND129.5,""
976,BLOOMINGTON PD,BLOOMINGTON,2022-05-06T00:00:00,6:05 PM,2,,0,0,0,"","","",STATE RD 46,E EASTGATE LN,"",317,"",39.16950037,-86.50126707,STATE ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,STATERD46EEASTGATELN,""
977,MONROE SD,BLOOMINGTON,2022-05-15T00:00:00,10:45 AM,1,,0,0,0,"","","",S ROGERS ST,W CHURCH LN,"",0,"",39.10845213,-86.5401874,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,WCHURCHLNSROGERSST,""
978,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-02-17T00:00:00,8:00 PM,2,,0,0,0,2620,"","",E 10TH ST,"","",0,"",39.17098356,-86.50066889,OTHER,"",URBAN,N,N,N,"",DARK (LIGHTED),SLEET/HAIL/FREEZING RAIN,SNOW/SLUSH,"",NO JUNCTION INVOLVED,"",ASPHALT,IMPROPER TURNING,LEFT TURN,E10THST,""
979,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-04-03T00:00:00,9:30 PM,2,,0,0,0,"","","",STATE RD 45,DISCOVERY PKWY,"",0,"",39.17529439,-86.50409789,STATE ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,HEADLIGHT DEFECTIVE OR NOT ON,RIGHT ANGLE,STATERD45DISCOVERYPKWY,""
980,BLOOMINGTON PD,BLOOMINGTON,2022-04-08T00:00:00,11:18 AM,2,,0,0,0,"","","",E. 7TH ST,N DUNN ST,"",0,"",39.168516,-86.52827,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E.7THSTNDUNNST,""
981,MONROE SD,BLOOMINGTON,2022-02-18T00:00:00,5:47 PM,2,,0,0,0,"","","",S VILLAGE DR,W LOROY AVE,"",0,"",39.16046462,-86.58376213,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,IMPROPER PASSING,SAME DIRECTION SIDESWIPE,WLOROYAVESVILLAGEDR,""
982,BLOOMINGTON PD,BLOOMINGTON,2022-04-06T00:00:00,8:07 AM,1,,0,0,0,"","","",1700 BLK S. HUNTINGTON DR,MILLER DRIVE,"",1000,"",,,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,MILLERDRIVE1700BLKS.HUNTINGTONDR,""
983,BLOOMINGTON PD,BLOOMINGTON,2022-05-31T00:00:00,4:25 PM,3,,0,0,0,"","","",E 3RD ST,S KINGSTON DR,"",0,"",39.16425719,-86.49340665,LOCAL/CITY ROAD,"",URBAN,N,N,Y,LANE CLOSURE,DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SKINGSTONDRE3RDST,""
984,BLOOMINGTON PD,BLOOMINGTON,2022-04-23T00:00:00,9:29 AM,2,,0,0,0,"","","",I-69,SR 46,"",0,"",39.18325384,-86.55680841,INTERSTATE,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",RAMP,"",ASPHALT,FAILURE TO MAINTAIN LANE,SAME DIRECTION SIDESWIPE,SR46I-69,""
985,BLOOMINGTON PD,BLOOMINGTON,2022-01-22T00:00:00,5:10 AM,2,,1,0,0,"","","",W STATE RD 45,INDUSTRIAL BLVD,"",0,"",39.14361027,-86.58034748,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",CONCRETE,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,WSTATERD45INDUSTRIALBLVD,""
986,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-03-29T00:00:00,6:50 AM,2,,0,0,0,"","","",STATE RD 45,DISCOVERY,"",0,"",39.1751758,-86.5040814,STATE ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,STATERD45DISCOVERY,""
987,BLOOMINGTON PD,BLOOMINGTON,2022-01-18T00:00:00,8:40 PM,2,,0,0,0,"","","",S LIBERTY DR,W 3RD ST,"",0,"",39.16425918,-86.57913565,"","",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,IMPROPER LANE USAGE,REAR END,W3RDSTSLIBERTYDR,""
988,BLOOMINGTON PD,BLOOMINGTON,2022-04-22T00:00:00,3:28 PM,2,,0,0,0,"","","",N ROGERS ST,W 6TH ST,"",0,"",39.16757877,-86.53867669,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,W6THSTNROGERSST,""
989,MONROE SD,BLOOMINGTON,2022-04-14T00:00:00,8:59 AM,2,,0,0,0,"","","",S ROGERS ST,W COUNTRY CLUB,"",0,"",39.135644,-86.53829879,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,WCOUNTRYCLUBSROGERSST,""
990,MONROE SD,BLOOMINGTON,2022-03-12T00:00:00,3:14 PM,1,,0,0,1,"","","",W 3RD ST,S STONECHASE CROSSING RD,"",581,"",39.1647241,-86.59402406,STATE ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,W3RDSTSSTONECHASECROSSINGRD,""
991,BLOOMINGTON PD,BLOOMINGTON,2022-05-09T00:00:00,5:21 PM,2,,0,0,0,"","","",W 10TH ST,N COLLEGE AVE,"",0,"",39.1716961,-86.53485722,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,W10THSTNCOLLEGEAVE,""
992,BLOOMINGTON PD,BLOOMINGTON,2022-04-11T00:00:00,2:59 PM,2,,0,0,0,"","","",600 E MILLER DR,"","",0,"",39.14699195,-86.5257076,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,600EMILLERDR,""
993,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-05-18T00:00:00,6:46 AM,2,,0,0,0,"","","",STATE RD 45,"","",0,"",39.18206184,-86.50995202,STATE ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,STATERD45,""
994,DNR LAW ENFORCEMENT,BLOOMINGTON,2022-02-05T00:00:00,11:45 AM,1,,0,0,0,"","","",N OLD STATE ROAD 37,"","",0,"",39.23512174,-86.50336955,"","",RURAL,N,N,N,"",DAYLIGHT,CLEAR,SNOW/SLUSH,"",NO JUNCTION INVOLVED,"",ASPHALT,OVERCORRECTING/OVERSTEERING,RAN OFF ROAD,NOLDSTATEROAD37,""
995,BLOOMINGTON PD,BLOOMINGTON,2022-03-16T00:00:00,5:20 PM,2,,0,0,0,"","","",W APPLE TREE CT,S APPLE TREE PL,"",0,"",39.15490363,-86.58797926,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,BACKING CRASH,WAPPLETREECTSAPPLETREEPL,""
996,BLOOMINGTON PD,BLOOMINGTON,2022-02-19T00:00:00,12:40 AM,2,,0,0,0,2819,"","",3RD STREET,"","",0,"",39.16481098,-86.49534849,OTHER,"",URBAN,N,N,N,"",DARK (LIGHTED),CLOUDY,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,3RDSTREET,""
997,BLOOMINGTON PD,BLOOMINGTON,2022-03-22T00:00:00,9:30 PM,2,,0,0,0,"","","",318 N WALNUT ST,"","",0,"",39.1689332,-86.53358099,"","",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",CONCRETE,IMPROPER TURNING,RIGHT TURN,318NWALNUTST,""
998,MONROE SD,ELLETTSVILLE,2022-02-09T00:00:00,2:00 PM,2,,0,0,0,"","","",W SR 46,N UNION VALLEY,"",0,"",39.2153592,-86.5930113,STATE ROAD,"",URBAN,N,Y,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WSR46NUNIONVALLEY,""
999,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-04-13T00:00:00,12:50 PM,2,,0,0,0,"","","",E VARSITY LN,N DUNN ST,"",0,"",39.18297664,-86.52837343,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",T-INTERSECTION,"",ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,REAR END,NDUNNSTEVARSITYLN,""
1000,BLOOMINGTON PD,BLOOMINGTON,2022-04-17T00:00:00,8:40 PM,2,,0,0,0,"","","",W BLOOMFIELD RD,S PATTERSON DR,"",0,"",39.16076038,-86.54847211,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",CONCRETE,FAILURE TO MAINTAIN LANE,HEAD ON BETWEEN TWO MOTOR VEHICLES,WBLOOMFIELDRDSPATTERSONDR,""
1001,BLOOMINGTON PD,BLOOMINGTON,2022-03-09T00:00:00,8:40 PM,1,,1,0,0,"","","",S MORTON ST,W 2ND ST,"",0,"",39.1613732,-86.53628058,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",TRAIL CROSSINGS,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,W2NDSTSMORTONST,""
1002,ISP BLOOMINGTON 33,BLOOMINGTON,2022-05-11T00:00:00,4:52 PM,1,,0,0,0,"",114,A,STATE RD 37,"","",0,"",39.10761829,-86.55727857,INTERSTATE,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",RAMP,"",ASPHALT,"",RAN OFF ROAD,STATERD37114A,""
1003,BLOOMINGTON PD,BLOOMINGTON,2022-02-03T00:00:00,12:15 PM,2,,0,0,0,1175,"","",S COLLEGE MALL RD,"","",0,"",39.15397278,-86.49618374,"","",URBAN,N,N,N,"",DAYLIGHT,SNOW,SNOW/SLUSH,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,SCOLLEGEMALLRD,""
1004,BLOOMINGTON PD,BLOOMINGTON,2022-03-22T00:00:00,6:35 PM,2,,1,0,0,"","","",W KIRKWOOD AVE,N ELM ST,"",0,"",39.16671062,-86.54521826,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,WKIRKWOODAVENELMST,""
1005,MONROE SD,BLOOMINGTON,2022-04-21T00:00:00,3:09 PM,2,,0,0,0,300 N,"","",DANIELS WAY,"","",0,"",39.1697236,-86.59643211,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,BACKING CRASH,DANIELSWAY,""
1006,BLOOMINGTON PD,BLOOMINGTON,2022-04-13T00:00:00,11:25 AM,2,,0,0,0,"","","",1300 BLK E. 2ND ST,S EAGLESON AVE,"",500,"",39.1610093,-86.51752887,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,OVERCORRECTING/OVERSTEERING,SAME DIRECTION SIDESWIPE,SEAGLESONAVE1300BLKE.2NDST,""
1007,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-05-05T00:00:00,4:25 PM,2,,0,0,0,"","","",45/46 BYPASS,DISCOVERY PARKWAY,"",0,"",39.17542506,-86.50436229,STATE ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,DISCOVERYPARKWAY45/46BYPASS,""
1008,MONROE SD,BLOOMINGTON,2022-01-31T00:00:00,5:49 AM,1,,0,1,0,"","","",STATE RD 37,E MONROE DAM ROAD,"",1700,"",39.01531224,-86.5370525,STATE ROAD,"",RURAL,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,STATERD37EMONROEDAMROAD,""
1009,BLOOMINGTON PD,BLOOMINGTON,2022-04-06T00:00:00,3:35 PM,2,,0,0,0,"","","",E UNIVERSITY ST,S JORDAN AVE,"",0,"",39.16015886,-86.51644806,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SJORDANAVEEUNIVERSITYST,""
1010,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-05-19T00:00:00,2:00 PM,2,,0,0,0,"","","",N JORDAN AVE,"","",0,"",39.16741518,-86.51430792,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",CONCRETE,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NJORDANAVE,""
1011,BLOOMINGTON PD,BLOOMINGTON,2022-05-28T00:00:00,6:03 PM,2,,0,0,0,"","","",W 1ST ST,S WALNUT ST,"",0,"",39.15934968,-86.53370251,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,W1STSTSWALNUTST,""
1012,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-02-17T00:00:00,11:30 PM,1,,0,0,0,"","","",N JORDAN AVE,N FISHER CT,"",528,"",39.18377554,-86.51564686,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),SNOW,ICE,"",T-INTERSECTION,"",ASPHALT,ROADWAY SURFACE CONDITION,RAN OFF ROAD,NJORDANAVENFISHERCT,""
1013,BLOOMINGTON PD,BLOOMINGTON,2022-02-24T00:00:00,5:15 PM,2,,1,0,0,"","","",E 14TH ST,N WALNUT ST,"",0,"",39.17596659,-86.53349773,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NWALNUTSTE14THST,""
1014,BLOOMINGTON PD,BLOOMINGTON,2022-02-22T00:00:00,3:00 PM,2,,0,0,0,"","","",W 8TH ST,W VERNAL PIKE,"",0,"",39.16990652,-86.55015802,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",T-INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WVERNALPIKEW8THST,""
1015,BLOOMINGTON PD,BLOOMINGTON,2022-04-25T00:00:00,12:15 PM,2,,0,0,0,"","","",E 3RD ST,COLLEGE MALL RD,"",100,"",39.1640097,-86.4959764,"","",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,REAR END,E3RDSTCOLLEGEMALLRD,""
1016,MONROE SD,BLOOMINGTON,2022-05-06T00:00:00,5:48 PM,2,,0,0,0,"","","",W DILLMAN RD,W DILLMAN RD,"",0,"",39.09325502,-86.54608792,STATE ROAD,"",RURAL,N,N,N,"",DAYLIGHT,RAIN,WET,"",FOUR-WAY INTERSECTION,"",ASPHALT,ROADWAY SURFACE CONDITION,SAME DIRECTION SIDESWIPE,WDILLMANRDWDILLMANRD,""
1017,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-04-25T00:00:00,2:50 PM,2,,0,0,0,"","","",S JORDAN AVE,N JORDAN AVE,"",0,"",39.1661425,-86.51644296,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SJORDANAVENJORDANAVE,""
1018,MONROE SD,BLOOMINGTON,2022-02-18T00:00:00,12:00 AM,2,,0,0,0,"","","",W BELLE AVE,S HICKORY DR,"",0,"",39.16425237,-86.58053586,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,LOOSE MATERIAL ON ROAD,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WBELLEAVESHICKORYDR,""
1019,ISP BLOOMINGTON 33,ELLETTSVILLE,2022-04-21T00:00:00,5:25 PM,2,,0,0,0,"","","",SR46,LAKEVIEW DRIVE,"",100,"",39.22092522,-86.60526878,STATE ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,REAR END,SR46LAKEVIEWDRIVE,""
1020,ISP BLOOMINGTON 33,BLOOMINGTON,2022-03-11T00:00:00,9:59 AM,1,,0,0,2,"","","",I-69,"","",739,"",39.07112474,-86.66434063,INTERSTATE,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",CONCRETE,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,I-69107,""
1021,MONROE SD,BLOOMINGTON,2022-01-11T00:00:00,9:18 AM,1,0,0,0,1,"","","",W VERNAL,N HARTSTRAIT,"",300,W,39.186767,-86.61124701,COUNTY ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,NHARTSTRAITRDWVERNALPIKE,NONE
1022,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-18T00:00:00,9:15 AM,1,0,0,0,0,"","","",17TH,WOODLAWN,"",,"",39.178992,-86.523504,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLOUDY,WET,"",NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,17THSTWOODLAWNAVE,TRAFFIC CONTROL SIGNAL
1023,MONROE SD,BLOOMINGTON,2022-01-04T00:00:00,11:15 AM,2,0,1,0,0,"","","",N MT TABOR,W COWDEN,"",1000,S,39.266864,-86.620704,LOCAL/CITY ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,UNSAFE SPEED,RIGHT ANGLE,NMTTABORRDWCOWDENRD,NONE
1024,MONROE SD,BLOOMINGTON,2022-01-07T00:00:00,5:04 PM,3,0,0,0,0,"","","",SR45W,ISON,"",,"",39.11511077,-86.6058169,STATE ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,ISONRDSR45W,NONE
1025,ELLETTSVILLE PD,ELLETTSVILLE,2022-05-03T00:00:00,2:49 PM,2,0,0,0,0,"","","",SR46W,SALE,"",,"",39.23384,-86.624704,STATE ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,SALESTSR46W,TRAFFIC CONTROL SIGNAL
1026,ISP BLOOMINGTON 33,BLOOMINGTON,2022-01-16T00:00:00,5:50 AM,1,,0,0,0,"","","",I-69,"","",898,"",39.20444874,-86.55398315,INTERSTATE,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,"","",I-69120,""
1027,BLOOMINGTON PD,BLOOMINGTON,2022-01-13T00:00:00,10:10 PM,2,,1,0,0,"","","",S. WALNUT ST,W. COUNTRY CLUB DR,"",0,"",39.13597883,-86.53110772,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,W.COUNTRYCLUBDRS.WALNUTST,""
1028,BLOOMINGTON PD,BLOOMINGTON,2022-01-11T00:00:00,4:40 PM,1,,1,0,0,"","","",S WILLIAMSBURG DR,E 3RD ST,"",0,"",39.16438732,-86.49653381,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,SWILLIAMSBURGDRE3RDST,""
