Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
BLOOMINGTON PD,BLOOMINGTON,6/24/2019,11:30 PM,1,0,0,0,0,,,,E MOORES,S RENWICK BLVD,,40,E,39.15018,-86.50118346,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,TRAFFIC CIRCLE/ROUNDABOUT,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EMOORESPIKESRENWICKBLVD,ROUNDABOUT INTERSECTION
MONROE SD,BLOOMINGTON,6/24/2019,8:07 PM,2,1,0,0,0,,,,I-69,,,1000,S,39.16521763,-86.52750503,INTERSTATE,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,I69NSAMPLERD,NONE
BLOOMINGTON PD,BLOOMINGTON,6/24/2019,12:59 PM,1,0,0,0,0,,,,N ARLINGTON,W 20TH ST,,,,39.184048,-86.550192,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,T-INTERSECTION,CURVE/GRADE,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF ROAD,NARLINGTONRDW20THST,NONE
MONROE SD,ELLETTSVILLE,6/24/2019,7:04 PM,2,0,1,0,0,,,,N MT TABOR,N BARR RD,,300,S,39.273888,-86.621456,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NBARRRDNMTTABORRD,NONE
MONROE SD,BLOOMINGTON,6/24/2019,11:39 AM,1,0,0,0,0,,,,SR 446,E GRUBB RD,,1500,N,39.05385117,-86.40777479,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,GRUBBRDSR446S,NONE
BLOOMINGTON PD,BLOOMINGTON,6/24/2019,11:15 AM,2,0,1,0,0,,,,W BLOOMFIELD,S ROLLING RIDGE WAY,,,,39.15496,-86.56323,LOCAL/CITY ROAD,Y,,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,ROLLINGRIDGEWAYWBLOOMFIELDRD,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,6/25/2019,6:28 PM,2,0,1,0,0,,,,SR 48,S CURRY PIKE,,,,39.16464,-86.58296,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SCURRYPIKEW3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,6/25/2019,10:30 AM,2,0,0,0,0,,,,S PATTERSON,W 2ND ST,,,,39.16076,-86.54849,LOCAL/CITY ROAD,Y,URBAN,N,N,Y,WORK ON SHOULDER,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,2NDSTPATTERSONST,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,6/25/2019,5:01 PM,3,0,1,0,0,,,,SR 37,W DILLMAN RD,,,,39.092976,-86.545648,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SR37SWESTDILLMANRD,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,6/25/2019,2:44 AM,1,0,0,0,0,,,,E 14TH,E BROWNSTONE DR,,75,W,39.17598,-86.52897351,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,E14THSTEBROWNSTONEDR,NONE
BLOOMINGTON PD,BLOOMINGTON,6/25/2019,6:03 PM,2,0,0,0,0,,,,E 2ND,S WOODLAWN AVE,,,,39.16107,-86.52264,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,2NDSTWOODLAWNAVE,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,6/25/2019,10:10 PM,2,0,0,0,0,,,,S ADDISYN,W EVENTIDE DR,,,,39.1407,-86.55674,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,SADDISYNLNWEVENTIDEDR,NONE
BLOOMINGTON PD,BLOOMINGTON,6/25/2019,5:45 PM,3,0,1,0,0,,,,W BELLE,S CURRY PIKE,,300,S,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,SCURRYPIKEWBELLAVE,NONE
MONROE SD,ELLETTSVILLE,6/25/2019,1:16 AM,1,0,0,0,0,4594,,,W COWDEN,,,,,39.2555,-86.59299,UNKNOWN,Y,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,OTHER - EXPLAIN IN NARRATIVE,WESTCOWDENRD,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,6/26/2019,7:35 AM,3,0,0,0,0,,,,SR 46,SR 45,,,,39.171648,-86.502096,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,10THSTSR46W,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,6/26/2019,5:00 PM,2,0,1,0,0,,,,S WALNUT,W COUNTRY CLUB DR,,,,39.13597,-86.53111,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SWALNUTSTWCOUNTRYCLUBDR,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,6/26/2019,7:49 AM,1,0,0,0,1,,,,SR 46,N LOWER BIRDIE GALYAN RD,,100,E,39.16269,-86.41335864,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,NLOWERBIRDIEGALYANRDSR46E,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,6/26/2019,1:54 PM,2,0,0,0,0,,,,S WOODSCREST,EASTLAND PLAZA DR,,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,IMPROPER TURNING,LEFT TURN,EASTLANDACCESSRDSWOODSCRESTDR,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,6/26/2019,10:17 PM,2,0,0,0,0,,,,SR 45/46,,,1200,E,39.18483364,-86.51591712,STATE ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,NFEELNSR46E,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,6/26/2019,11:25 AM,2,0,0,0,0,,,,W KIRKWOOD,N PINE ST,,,,39.1668,-86.548288,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,LEFT OF CENTER,SAME DIRECTION SIDESWIPE,KIRKWOODAVEPINEST,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,6/27/2019,3:30 PM,2,0,0,0,0,,,,S LIBERTY,SR 45,,,,0,0,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,LIBERTYDRSR45RD,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,6/27/2019,12:08 PM,2,0,0,0,0,,,,SR 45/46,N KINSER PIKE,,,,39.186544,-86.537888,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NKINSERPIKESR4546W,TRAFFIC CONTROL SIGNAL
ELLETTSVILLE PD,ELLETTSVILLE,6/27/2019,6:09 PM,2,0,0,0,0,,,,N SMITH,SR 46,,,,39.210144,-86.5832,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,BRAKE FAILURE OR DEFECTIVE,REAR END,NORTHSMITHPIKESR46W,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,6/27/2019,4:00 PM,2,0,0,0,0,,,,E WINSLOW,S HENDERSON ST,,30,W,39.136144,-86.5268,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EWINSLOWRDSHENDERSONST,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,6/27/2019,1:10 PM,1,0,0,0,0,,123,C,I-69 S,N SR 37 BUSINESS,Y,,,0,0,INTERSTATE,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAMP,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,I69,LANE CONTROL
MONROE SD,BLOOMINGTON,6/27/2019,5:15 PM,2,0,0,0,0,,,,S CAVE,,,1200,N,39.154336,-86.628896,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,CONCRETE,VIEW OBSTRUCTED,LEFT TURN,SCAVERDWHOLLANDHILLLN,NONE
BLOOMINGTON PD,BLOOMINGTON,6/27/2019,12:05 PM,2,0,0,0,0,,,,SR 45,E JOHN HINKLE PL,,200,W,39.17154033,-86.4917847,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,HEAD ON BETWEEN TWO MOTOR VEHICLES,10THSTRANGERD,NONE
MONROE SD,BLOOMINGTON,6/27/2019,1:29 PM,1,1,1,0,0,,,,SR 45,S HARMONY RD,,500,E,39.11188918,-86.63693506,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,UNSAFE SPEED,NON-COLLISION,HARMONYRDSR45E,NONE
MONROE SD,BLOOMINGTON,6/27/2019,3:27 PM,2,0,0,0,0,,,,SR 45,S STANFORD RD,,,,39.08984,-86.666304,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,LEFT TURN,SBURCHRDSR45W,NONE
MONROE SD,BLOOMINGTON,6/27/2019,5:27 PM,2,0,0,0,0,,,,SR 48,S KIRBY RD,,50,E,39.16494,-86.61103433,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE SPEED,REAR END,NHARTSTRAITRDSR48W,NONE
BLOOMINGTON PD,BLOOMINGTON,6/28/2019,3:00 PM,2,0,2,0,0,,,,SR 45,S LIBERTY DR,,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SOUTHLIBERTYDRWESTBLOOMFIELDRD,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,6/28/2019,5:05 PM,2,0,0,0,0,,,,E LAW,N JORDAN AVE,,,,39.173552,-86.515488,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,ELAWLNJORDANAVE,NONE
MONROE SD,BLOOMINGTON,6/28/2019,5:38 PM,2,0,0,0,0,,,,SR 46 ,N CURRY PIKE,,1000,E,39.142048,-86.582592,STATE ROAD,N,RURAL,N,N,Y,LANE CLOSURE,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,RAN OFF ROAD,NCURRYPIKESR46W,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,6/28/2019,10:25 AM,2,0,0,0,0,,,,SR 37,E SMITHVILLE RD,,1200,S,39.06776023,-86.53564212,STATE ROAD,Y,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER PASSING,SAME DIRECTION SIDESWIPE,SMITHVILLERDSR37,LANE CONTROL
MONROE SD,BLOOMINGTON,6/28/2019,4:35 PM,2,0,0,0,0,,,,W OLD SR 37,E NORTHCLIFF AVE,,,,39.21414,-86.52234,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NORTHOLDSTATEROAD37RDNORTHCLIFFAVE,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,6/29/2019,4:08 PM,2,0,0,0,0,,,,SR 45/46,E 10TH ST,,,,0,0,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SR45SR46,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,6/29/2019,11:02 AM,2,0,0,0,0,,,,SR 46,N CURRY PIKE,,,,39.19369,-86.57139,STATE ROAD,N,URBAN,N,N,Y,LANE CLOSURE,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NCURRYPIKESR46W,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,6/29/2019,12:44 PM,2,0,0,0,0,,,,S ADAMS,W KIRKWOOD AVE,,,,39.166816,-86.549488,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,CURVE/GRADE,ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,SADAMSRDWKIRKWOODAVE,TRAFFIC CONTROL SIGNAL
ISP BLOOMINGTON 33,BLOOMINGTON,6/29/2019,4:30 PM,1,0,0,0,0,,,,I-69 S,,,0,N,0,0,INTERSTATE,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,I69105.0,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,6/29/2019,7:38 AM,2,0,0,0,0,,,,N COLLEGE,,,500,S,39.13007798,-86.53473,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,RIGHT ANGLE,NORTHCOLLEGEAVEWESTVAUGHNCLIPPWAY,NONE
MONROE SD,ELLETTSVILLE,6/29/2019,6:08 PM,2,0,0,0,0,,,,N MT TABOR,W COWDEN RD,,,,39.266864,-86.620704,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NORTHMTTABORRDWESTCOWDENRD,NONE
MONROE SD,BLOOMINGTON,6/29/2019,9:56 AM,2,0,0,0,0,,,,N UNION VALLEY,W MEADOWVALE DR,,,,39.22714,-86.59272,COUNTY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,MEADOWVALEDRNUNIONVALLEYRD,NONE
BLOOMINGTON PD,BLOOMINGTON,6/29/2019,10:21 AM,2,0,0,0,0,,,,SR 46,S HERITAGE RD,,40,W,39.16422,-86.48274654,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,E3RDSTHERITAGEDR,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,6/30/2019,4:16 PM,3,0,0,0,0,,,,S GATES,SR 48,,,,39.16459,-86.5762,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,OTHER - EXPLAIN IN NARRATIVE,SGATESDRW3RDST,TRAFFIC CONTROL SIGNAL
ELLETTSVILLE PD,ELLETTSVILLE,6/30/2019,6:00 PM,2,0,0,0,0,,,,SR 46,N CENTENNIAL DR,,,,39.20997,-86.58271,STATE ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,BRAKE FAILURE OR DEFECTIVE,REAR END,NORTHCENTENNIALDRSR46W,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,6/30/2019,3:58 PM,1,0,0,0,0,,,,W 17TH,N MADISON ST,,,,39.178992,-86.537792,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NKINSERPIKEW17THST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,6/30/2019,8:25 AM,1,0,1,0,0,,,,SR 45,N RUSSELL RD,,,,39.200352,-86.468,STATE ROAD,N,URBAN,Y,N,N,,UNKNOWN,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NRUSSELLRDSR45E,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,6/30/2019,7:25 PM,1,0,0,0,0,,,,SR 46,W ARLINGTON RD,,,,,,STATE ROAD,N,URBAN,N,Y,Y,LANE CLOSURE,DAWN/DUSK,RAIN,WET,,RAMP,CURVE/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,SR46WARLINGTONRD,NONE
MONROE SD,BLOOMINGTON,6/30/2019,9:45 PM,1,0,0,0,0,,,,N WAYPORT,E ELLIS RD,,300,N,39.33737749,-86.4871,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,ECHAMBERSPIKENWAYPORTRD,NONE
DNR LAW ENFORCEMENT,BLOOMINGTON,6/30/2019,11:25 AM,1,1,0,0,0,,,,SR 446,E HAYS RD,,40,S,39.04455978,-86.40785574,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,IMPROPER LANE USAGE,RAN OFF ROAD,HAYSRDRDSR446S,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,6/30/2019,9:20 PM,1,0,1,0,0,,,,W 1ST,S WALKER ST,,200,E,39.159648,-86.546,LOCAL/CITY ROAD,N,URBAN,Y,N,N,,DAWN/DUSK,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SWALKERSTW1STST,NONE
BLOOMINGTON PD,BLOOMINGTON,7/1/2019,12:36 PM,2,0,2,0,0,,,,S CURRY,SR 48,,200,N,39.18578891,-86.58296,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,RIGHT ANGLE,CURRYPIKETHIRDST,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,7/1/2019,1:35 PM,2,0,0,0,0,,,,S CURRY,SR 48,,75,S,39.164544,-86.560096,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SCURRYPIKEW3RDST,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,7/1/2019,12:50 PM,2,0,0,0,0,,,,S GATES,SR 48,,,,39.16459,-86.5762,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,3RDSTGATESDR,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,7/1/2019,10:36 PM,2,0,0,0,0,,,,E RICHLAND,N RURAL DR,,700,E,39.21925493,-86.51162619,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE SPEED,OPPOSITE DIRECTION SIDESWIPE,RICHLANDDRRURALST,NONE
MONROE SD,BLOOMINGTON,7/1/2019,2:47 PM,1,0,0,0,0,,,,N LOUDEN,W RATLIFF RD,,300,S,39.15556828,-86.63957,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NORTHLOUDENRDWESTRATLIFFRD,NONE
BLOOMINGTON PD,BLOOMINGTON,7/1/2019,10:22 AM,1,0,0,0,0,,,,S HAWTHORNE,E 2ND ST,,200,N,39.18221698,-86.5202,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,2NDSTHAWTHORNEST,NONE
MONROE SD,BLOOMINGTON,7/1/2019,8:47 AM,2,0,3,0,0,,,,SR 45,N SKIRVIN RD,,275,W,39.22723171,-86.43490557,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NSKIRVINLNSR45E,NONE
MONROE SD,BLOOMINGTON,7/1/2019,5:59 AM,1,0,0,0,1,,,,SR 48,S CAVE RD,,1200,E,39.16376722,-86.6249447,STATE ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,CAVERDSR48E,NONE
BLOOMINGTON PD,BLOOMINGTON,7/2/2019,4:40 PM,3,0,0,0,0,,,,N KINSER,SR 45/46,,,,39.186544,-86.537888,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,4546HWYNKINSERPIKE,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,7/2/2019,12:30 PM,2,1,2,0,0,,,,SR 45/46,N DUNN ST,,,,39.18629,-86.52841,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER ASLEEP OR FATIGUED,REAR END,DUNNSTSR46,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,7/2/2019,5:52 PM,2,0,0,0,0,,,,N SMITH,W WOODYARD RD,,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SMITHPIKEWOODYARDRD,STOP SIGN
MONROE SD,BLOOMINGTON,7/2/2019,1:42 PM,1,0,0,0,0,,,,S OLD SR 37,S DELLSVILLE RD,,50,N,39.07141393,-86.54152,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SDELLSVILLERDSOLDSTATEROAD37RD,NONE
BLOOMINGTON PD,BLOOMINGTON,7/2/2019,11:39 AM,2,0,,0,0,3470,,,W 3RD,,,,,39.228944,-86.627504,UNKNOWN,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,WEST3RDST,STOP SIGN
