Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,4/28/2019,5:06 PM,2,0,0,0,0,,,,N WOODLAWN,E 8TH ST,,200,E,39.16900315,-86.52341111,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,E8THSTWOODLAWNAVE,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,4/29/2019,9:40 AM,2,0,0,0,0,,,,SR 45/46,E 17TH ST,,,,39.17984,-86.507088,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,EAST17THSTSR46,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,4/29/2019,8:30 AM,1,0,0,0,0,,,,E 10TH,N SUNRISE DR,,,,39.17158,-86.51248,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,LEFT TURN,NSUNRISEDRTENTHST,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,4/29/2019,6:15 PM,2,0,0,0,0,,,,E 10TH,N SUNRISE DR,,,,39.17158,-86.51248,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NSUNRISEDRTENTHST,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,4/29/2019,11:30 PM,1,0,0,0,0,7796,,,S OLD SR 37,SR 37,,,,39.04955723,-86.54099233,COUNTY ROAD,Y,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SOUTHOLDSTATEROAD37RD,NONE
MONROE SD,BLOOMINGTON,4/29/2019,9:00 AM,2,0,0,0,0,,,,W OLD SR 37,E SAMPLE RD,,2000,S,39.04139186,-86.50078,COUNTY ROAD,Y,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,NORTHOLD37HWYSAMPLERD,NONE
DNR LAW ENFORCEMENT,BLOOMINGTON,4/29/2019,8:13 AM,1,0,0,0,1,,,,I-69 S,,,100,N,41.13583018,-85.14035522,INTERSTATE,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH ANIMAL OTHER,I69S112,NONE
BLOOMINGTON PD,BLOOMINGTON,4/29/2019,7:40 AM,3,0,0,0,0,,,,N KINSER,SKYLINE DR,,300,N,39.190544,-86.537712,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NORTHKINSERPIKESKYLINEDR,NONE
MONROE SD,BLOOMINGTON,4/29/2019,7:54 AM,1,0,0,0,0,7990,,,S ROCKPORT,,,,,39.05052604,-86.60887543,COUNTY ROAD,Y,RURAL,N,N,N,,UNKNOWN,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SROCKPORTRD,LANE CONTROL
ISP BLOOMINGTON 33,BLOOMINGTON,4/29/2019,7:28 AM,1,0,0,0,1,,,,SR 446,S SWARTZ RIDGE RD,,2080,S,39.12918544,-86.44156566,STATE ROAD,N,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH ANIMAL OTHER,SR446SWARTZRIDGERD,LANE CONTROL
ISP BLOOMINGTON 33,BLOOMINGTON,4/29/2019,6:55 PM,1,0,0,0,0,,,,SR 45,S BURCH RD,,3000,N,0,0,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SR45STANFORDRD,NO PASSING ZONE
MONROE SD,BLOOMINGTON,4/29/2019,7:05 AM,1,1,1,0,0,9701,,,SR 46,,,200,W,39.15263,-86.37108272,STATE ROAD,N,RURAL,N,N,N,,DAWN/DUSK,CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,COUNTYLINERDSR46E,NONE
BLOOMINGTON PD,BLOOMINGTON,4/30/2019,5:27 PM,2,0,0,0,0,,,,SR 46,E EASTGATE LN,,50,S,39.17011202,-86.50132801,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EEASTGATELNSR46N,NONE
MONROE SD,BLOOMINGTON,4/30/2019,7:15 AM,1,0,0,0,1,,,,SR 46,N LOWER BIRDIE GAYLAN RD,,600,W,39.16269,-86.41329815,STATE ROAD,N,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/HILLCREST,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,LOWERBIRDIEGAYLANRDSR46E,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,4/30/2019,10:05 AM,2,0,0,0,0,,,,E 6TH,N GRANT ST,,,,39.16754,-86.52979,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,CONCRETE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,GRANTSTSIXTHST,NONE
BLOOMINGTON PD,BLOOMINGTON,4/30/2019,5:00 PM,1,0,0,0,0,,,,E ATWATER,S CLIFTON AVE,,,,39.16311519,-86.52496499,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,UNKNOWN,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EASTATWATERAVESOUTHCLIFTONAVE,STOP SIGN
