Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime
BLOOMINGTON PD,BLOOMINGTON,2,0.0,3.0,0.0,0,,,,SR 46,KINGSTON DR S,,,,39.16424,-86.492944,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,E3RDSTSKINGSTONAVE,TRAFFIC CONTROL SIGNAL,2020-01-03 11:00:00
ISP BLOOMINGTON 33,ELLETTSVILLE,1,,0.0,0.0,0,,,,N UNION VALLEY RD,W RICHLAND PLAZA DR,,317.0,S,39.217147,-86.592748,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,,ASPHALT,BRAKE FAILURE OR DEFECTIVE,RAN OFF ROAD,NCRESTWOODDRNUNIONVALLEYRD,,2020-01-03 12:00:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,3500.0,,,W 3RD ST (WHITEHALL CROSSING),W 3RD ST (WHITEHALL CROSSING),,,,39.16424,-86.4892,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,W3RDST,STOP SIGN,2020-01-03 12:41:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,503.0,,,S MULLER PKWY,,,,,39.16105733,-86.56742117,UNKNOWN,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,SMULLERPKWY,NONE,2020-01-03 14:32:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,SR 48,S CURRY PIKE,,,,39.16464,-86.58296,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SCURRYPIKEW3RDST,TRAFFIC CONTROL SIGNAL,2020-01-03 20:52:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,4021.0,,,SR 48,S CURRY PIKE,,50.0,W,39.16464,-86.58295567,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,CONCRETE,FOLLOWING TOO CLOSELY,REAR END,SOUTHCURRYPIKEWEST3RDST,NONE,2020-01-04 06:30:00
ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,1.0,0.0,0,,,,N THOMAS RD,S SALE ST,,,,39.231152,-86.6308,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,BLOWING SAND/SOIL/SNOW,WET,,Y-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,BACKING CRASH,SALESTTHOMASRD,STOP SIGN,2020-01-04 14:56:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,N WALNUT ST,,,100.0,S,39.16864,-86.533568,LOCAL/CITY ROAD,N,URBAN,Y,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,E7THSTNWALNUTST,NONE,2020-01-04 15:00:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0.0,0,,,,S SARE RD,E DAVID DR,,,,39.13857,-86.49656,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EDAVIDDRSSARERD,NONE,2020-01-04 16:37:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,2036.0,,,WALNUT KNOLLS APARTMENT DR,,,,,39.232544,-86.540704,UNKNOWN,Y,URBAN,N,N,N,,UNKNOWN,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NWALNUTST,NONE,2020-01-05 13:45:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,SR 48,I-69 S,,,,39.164752,-86.573104,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SR37SW3RDST,TRAFFIC CONTROL SIGNAL,2020-01-05 22:24:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,,,0,,,,W 12TH ST,N LINDBERGH DR,,400.0,E,39.174352,-86.55118055,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,12THSTLINDBERGHDR,NONE,2020-01-05 23:15:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0,6550.0,,,SR 46,,,1200.0,E,0.0,0.0,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,STWINLEAFTRSR46E,NONE,2020-01-06 15:12:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,S LEONARD SPRINGS RD,W WALNUT LEAF DR,,,,39.140352,-86.582576,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SLEONARDSPRINGSRDWWALNUTLEAFDR,STOP SIGN,2020-01-06 17:00:00
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,W COBBLESTONE ST,,,500.0,E,0.0,0.0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,IMPROPER TURNING,REAR END,SOUTHCAVECREEKDRWESTCOBBLESTONEST,NONE,2020-01-06 19:12:00
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,N MAPLE GROVE RD,W LANDCASTER DR,,,,0.0,0.0,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NMAPLEGROVERDWLANDCASTERDR,LANE CONTROL,2020-01-07 09:54:00
ISP BLOOMINGTON 33,BLOOMINGTON,1,,0.0,0.0,1,,,,I-69 N,,,0.0,S,39.09448555,-86.56560215,INTERSTATE,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,113I-69,,2020-01-07 10:35:00
MONROE SD,ELLETTSVILLE,2,0.0,0.0,0.0,0,,,,W HEDRICK RD,,,1300.0,W,39.281744,-86.662992,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,CONCRETE,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,NORTHSTINESVILLERDWESTHEDRICKRD,NONE,2020-01-07 12:41:00
MONROE SD,BLOOMINGTON,2,1.0,0.0,0.0,0,,,,N CURRY PIKE,W WOODYARD RD,,,,39.190672,-86.582992,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NCURRYPIKEWWOODYARDRD,TRAFFIC CONTROL SIGNAL,2020-01-07 15:55:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,S ROGERS ST,W 2ND ST,,,,39.16139,-86.5387,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,2NDSTROGERSST,STOP SIGN,2020-01-07 17:15:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0.0,0,,,,E 7TH ST,N JORDAN AVE,,,,39.168944,-86.516016,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E7THSTJORDANAVE,STOP SIGN,2020-01-07 18:30:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,1,,,,SR 446,E WALDRIP CREEK RD,,120.0,N,0.0,0.0,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,EASTWALDRIPCREEKRDSR446S,NONE,2020-01-08 05:05:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0.0,0,,,,SR 48,S CURRY PIKE,,,,39.16464,-86.58296,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,CURRYPIKEW3RDST,TRAFFIC CONTROL SIGNAL,2020-01-08 08:30:00
ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0.0,0,,103,M,SR 45/46,I-69,,0.0,S,39.18695151,-86.55807417,UNKNOWN,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAMP,,CONCRETE,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SR37,,2020-01-08 13:30:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0,,,,N WALNUT ST,E 6TH ST,,100.0,S,39.167648,-86.533584,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE SPEED,REAR END,E6THSTNWALNUTST,NONE,2020-01-08 14:09:00
BLOOMINGTON PD,BLOOMINGTON,3,0.0,1.0,0.0,0,,,,SR 46,E 7TH ST,,,,39.167648,-86.500096,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E7THSTSR46N,STOP SIGN,2020-01-08 14:24:00
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,S CURRY PIKE,W CONSTITUTION WAY,,,,,,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,CONSTITUTIONAVECURRYPIKE,STOP SIGN,2020-01-08 15:07:00
MONROE SD,BLOOMINGTON,2,0.0,1.0,0.0,0,,,,W VERNAL PIKE,N LOESCH RD,,,,39.186352,-86.592896,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NLOESCHRDWVERNALPIKE,STOP SIGN,2020-01-08 15:41:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,SR 46,SR 45,,,,39.171648,-86.502096,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,10THSTSR46E,TRAFFIC CONTROL SIGNAL,2020-01-08 16:00:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0,,,,S LEONARD SPRINGS RD,W WALNUT LEAF DR,,,,39.140352,-86.582576,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SLEONARDSPRINGSRDWWALNUTLEAFDR,NONE,2020-01-08 16:53:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,W BLOOMFIELD RD,,,500.0,W,39.154272,-86.564176,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,IMPROPER LANE USAGE,OPPOSITE DIRECTION SIDESWIPE,SOUTHWEIMERRDWESTBLOOMFIELDRD,NONE,2020-01-08 18:35:00
ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0.0,0,,,,SR 46,N CAPITOL AVE ,,,,39.2232,-86.60912,STATE ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,CAPITOLAVESR46W,NONE,2020-01-08 19:50:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,N WASHINGTON ST,E 10TH ST,,,,39.17166,-86.53233,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,TENTHSTWASHINGTONST,STOP SIGN,2020-01-08 21:51:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0,,,,N MADISON ST,,,300.0,N,0.0,0.0,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/HILLCREST,ASPHALT,,RAN OFF ROAD,EAST11THSTNORTHMADISONST,NONE,2020-01-09 05:00:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,S TERRA CT,S ZONA CT,,,,39.14244,-86.54608,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,SZONACTTERRACT,NONE,2020-01-09 07:43:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0,,,,E MOORES PIKE,S OLCOTT BLVD,,100.0,W,39.15019,-86.48498135,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EMOORESPIKESOLCOTTBLVD,LANE CONTROL,2020-01-09 09:20:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,E 3RD ST,S WALNUT ST,,50.0,E,39.16464,-86.5336,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,THIRDSTWALNUTST,LANE CONTROL,2020-01-09 09:55:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,E 10TH ST,N SUNRISE DR,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,10THSTSUNRISEDR,TRAFFIC CONTROL SIGNAL,2020-01-09 13:17:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,900.0,,,E 7TH ST,N FORREST AVE (W),,,,39.168752,-86.5436,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,OPPOSITE DIRECTION SIDESWIPE,E7THST,STOP SIGN,2020-01-09 16:10:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,S HENDERSON ST,S BRANDON CT,,,,39.13818,-86.52694,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,LEFT/RIGHT TURN,SOUTHBRANDONCTSOUTHHENDERSONST,NONE,2020-01-09 16:40:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,N DUNN ST,E 7TH ST,,150.0,N,39.16864,-86.528224,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,CELL PHONE USAGE,REAR END,E7THSTNDUNNST,NONE,2020-01-09 18:05:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0,,,,S SMITH RD,E LARRY WAYNE DR,,100.0,N,0.0,0.0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH OBJECT IN ROAD,ELARRYWAYNEDRSSMITHRD,LANE CONTROL,2020-01-10 00:12:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0,,,,N HARTSTRAIT RD,,,900.0,S,39.208544,-86.611504,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH OBJECT IN ROAD,NORTHHARTSTRAITRDWESTWOODYARDRD,NONE,2020-01-10 04:56:00
ELLETTSVILLE PD,ELLETTSVILLE,1,0.0,0.0,0.0,0,,,,SR 46,S SHARP ST,,,,39.235952,-86.627904,STATE ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,T-INTERSECTION,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SHARPSTSR46W,LANE CONTROL,2020-01-10 07:08:00
ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0.0,0,,,,S POPLAR DR,SR 46,,,,39.237248,-86.629296,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,POPLARDRSR46W,STOP SIGN,2020-01-10 07:34:00
ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0.0,0,,,,SR 46,W ARLINGTON RD,,0.0,S,39.207772,-86.579931,STATE ROAD,,RURAL,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,,ASPHALT,UNSAFE LANE MOVEMENT,REAR END,STATERD46WARLINGTONRD,,2020-01-10 07:35:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0.0,0,,,,S HIGHLAND AVE,E MILLER DR,,,,39.146992,-86.517392,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EMILLERDRSHIGHLANDAVE,STOP SIGN,2020-01-10 07:39:00
MONROE SD,BLOOMINGTON,3,0.0,0.0,0.0,0,,,,N SMITH PIKE,W WOODYARD RD,,1000.0,N,0.0,0.0,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NSMITHPIKEWWOODYARDRD,NONE,2020-01-10 07:54:00
ELLETTSVILLE PD,ELLETTSVILLE,1,0.0,0.0,0.0,0,614.0,,,W ASSOCIATION ST,ALLEY,,15.0,E,0.0,0.0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WATER (STANDING OR MOVING),,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,614ASSOCIATIONSTALLEYST,LANE CONTROL,2020-01-10 09:40:00
ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0.0,0,,,,W KIRKWOOD AVE,S ROGERS ST,,0.0,S,39.166614,-86.538691,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,FOG/SMOKE/SMOG,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,HEAD ON BETWEEN TWO MOTOR VEHICLES,SROGERSSTWKIRKWOODAVE,,2020-01-10 10:10:00
ISP BLOOMINGTON 33,BLOOMINGTON,1,,0.0,0.0,0,9094.0,,,SR 48,,,0.0,S,39.1684943,-86.66998883,STATE ROAD,,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,NON-COLLISION,WSR48,,2020-01-10 12:25:00
