_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime
701,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,I69,N,W 3RD ST,I-69 N,,,,0.0,0.0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,RAMP,CURVE/GRADE,CONCRETE,FOLLOWING TOO CLOSELY,REAR END,W3RDST,YIELD SIGN,2021-10-22 08:22:00
702,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,E 2ND ST,S HENDERSON ST,,200.0,E,39.16144,-86.527152,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E2NDSTSHENDERSONST,NONE,2021-10-22 09:18:00
703,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E 17TH ST,N JORDAN AVE,,867.0,W,39.178844,-86.51237499,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE SPEED,REAR END,EAST17THSTJORDANAVE,NO PASSING ZONE,2021-10-22 12:04:00
704,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,SR 46,N HARTSTRAIT RD,,,,39.227624,-86.615919,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,HARTSTRAITRDSR46W,TRAFFIC CONTROL SIGNAL,2021-10-22 12:40:00
705,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E HILLSIDE DR,S WOODLAWN AVE,,,,39.15072,-86.522496,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EASTHILLSIDEDRSOUTHWOODLAWNAVE,LANE CONTROL,2021-10-22 13:46:00
706,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S WALNUT ST,W GORDON PIKE,,150.0,S,39.12144,-86.526496,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EASTRHORERRDSOUTHWALNUTST,LANE CONTROL,2021-10-22 15:15:00
707,ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0,0,,,,N KINSER PIKE,SR 45/46,,0.0,,39.18644162,-86.53772853,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,INTERCHANGE,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,StateRd46NKinserPike,,2021-10-22 15:55:00
708,MONROE SD,BLOOMINGTON,1,0.0,1.0,0,0,,,,SR 48,W VERNAL PIKE,,1500.0,E,39.16645885,-86.65646929,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,SR48WWVERNALPIKE,NONE,2021-10-22 17:35:00
709,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E 3RD ST,S OVERHILL DR,,75.0,E,39.164272,-86.501488,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EAST3RDSTSOUTHOVERHILLDR,LANE CONTROL,2021-10-22 18:41:00
710,ELLETTSVILLE PD,ELLETTSVILLE,1,0.0,1.0,0,1,,,,SR 46,,,500.0,W,39.24582159,-86.63865929,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,REDHILLRDSR46W,NONE,2021-10-22 19:57:00
711,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E 6TH ST,N GRANT ST,,200.0,W,39.167712,-86.529696,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,WRONG WAY ON ONE WAY,OPPOSITE DIRECTION SIDESWIPE,E6THSTNGRANTST,NONE,2021-10-22 20:13:00
712,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,N WALNUT ST,W 7TH ST,,,,39.16864,-86.533568,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,7THSTNWALNUTST,TRAFFIC CONTROL SIGNAL,2021-10-21 01:04:00
713,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S WALNUT ST,E DILLMAN RD,,,,39.092944,-86.544,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,EDILLMANRDSOLDSTATEROAD37RD,FLASHING OVERHEAD BEACON,2021-10-21 07:24:00
714,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E WINSLOW RD,S HIGHLAND AVE,,,,39.136048,-86.518496,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EWINSLOWRDSHIGHLANDAVE,NONE,2021-10-21 13:46:00
715,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E 3RD ST,S MITCHELL ST,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,Y-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,ETHIRDSTSMITCHELLST,NONE,2021-10-21 16:32:00
716,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S COLLEGE AVE,W 3RD ST,,,,39.16464,-86.534816,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SCOLLEGEAVEW3RDST,TRAFFIC CONTROL SIGNAL,2021-10-21 18:22:00
717,BLOOMINGTON PD,BLOOMINGTON,3,0.0,0.0,0,0,,,,SR 48,S GATES DR,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,NORTHGATESDRWEST3RDST,TRAFFIC CONTROL SIGNAL,2021-10-21 18:50:00
718,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,SR 46,N UNION VALLEY RD,,150.0,E,39.21486824,-86.59241609,STATE ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SR46WUNIONVALLEYRD,NONE,2021-10-21 20:00:00
719,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,SR 37,,,500.0,N,39.0724256,-86.53572929,STATE ROAD,N,URBAN,N,Y,N,,DAWN/DUSK,CLEAR,DRY,,T-INTERSECTION,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,SMITHVILLERDSR37S,NONE,2021-10-20 05:56:00
720,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,SR 37,W DILLMAN RD,,250.0,S,39.09229179,-86.54557374,STATE ROAD,N,URBAN,N,N,Y,X-OVER/LANE SHIFT,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/HILLCREST,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,SR37SWESTDILLMANRD,NONE,2021-10-20 06:20:00
721,ELLETTSVILLE PD,ELLETTSVILLE,3,,0.0,0,0,,,,SR 46,N JACCOB ST,,0.0,,39.24388373,-86.63412147,STATE ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WStateRd46NJacobSt,,2021-10-20 07:49:00
722,ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0,0,,118,C,W 3RD ST,I-69 N,,0.0,,39.16465351,-86.57317034,STATE ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,FOLLOWING TOO CLOSELY,REAR END,SR48eastofI69-118-C,,2021-10-20 07:59:00
723,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,S SMITH RD,E STONEGATE DR,,300.0,N,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,ESTONEGATEDRSSMITHRD,NONE,2021-10-20 10:36:00
724,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,3647,,,S BLUE SKY,S BLUE SKY,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,NON-ROADWAY CRASH,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,WSTATEROAD46RD,NONE,2021-10-20 13:10:00
725,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S ROGERS ST,ENTRANCE TO SWITCHYARD PARK,,200.0,S,,,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SROGERSSTWCHEROKEEDR,LANE CONTROL,2021-10-20 13:34:00
726,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,E 10TH ST,N WOODLAWN AVE,,,,39.171632,-86.523536,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E10THSTNWOODLAWNAVE,LANE CONTROL,2021-10-20 14:50:00
727,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S LIBERTY DR,SR 45,,75.0,N,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,CURVE/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SOUTHLIBERTYDRWESTSTATEROAD45HWY,LANE CONTROL,2021-10-20 16:10:00
728,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N WOODLAWN AVE,E 17TH ST,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EAST17THSTWOODLAWNAVE,TRAFFIC CONTROL SIGNAL,2021-10-20 18:40:00
729,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N PARK AVE,E 8TH ST,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,OPPOSITE DIRECTION SIDESWIPE,EIGHTHSTPARKAVE,NONE,2021-10-20 21:20:00
730,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,SR 37,,,500.0,S,39.06968277,-86.53561755,STATE ROAD,N,URBAN,N,Y,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,SMITHVILLERDSR37S,NONE,2021-10-19 03:19:00
731,ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0,0,,,,N FOW HOLLOW RD,N WAYPORT RD,,0.0,,39.28776652,-86.51891059,LOCAL/CITY ROAD,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NFoxHollowRdNFoxHollowRd,,2021-10-19 08:43:00
732,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,1000,,,N DYER DR,CHRISTIAN CENTER DR,,,,39.177552,-86.547104,LOCAL/CITY ROAD,N,URBAN,Y,N,N,,DAYLIGHT,FOG/SMOKE/SMOG,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER PASSING,SAME DIRECTION SIDESWIPE,W15THST,NONE,2021-10-19 08:58:00
733,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,E 10TH ST,SR 45/46,,500.0,W,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,10THSTSTATEROAD4546BYP,OTHER REGULATORY SIGN/MARKING,2021-10-19 13:11:00
734,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E 7TH ST,N GRANT ST,,,,39.16864,-86.529696,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E7THSTNGRANTST,STOP SIGN,2021-10-19 13:12:00
735,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,S PATTERSON DR,W 3RD ST (N),,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SPATTERSONDRW3RDST,LANE CONTROL,2021-10-19 13:34:00
736,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,1000,,,FOSTER CIRCLE,,,,,,,UNKNOWN,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,IMPROPER TURNING,SAME DIRECTION SIDESWIPE,NFEELN,NONE,2021-10-19 13:40:00
737,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N WALNUT ST,SR 45/46,,,,39.186368,-86.5344,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NWALNUTSTSR4546BYP,TRAFFIC CONTROL SIGNAL,2021-10-19 15:12:00
738,BLOOMINGTON PD,BLOOMINGTON,3,0.0,0.0,0,0,,,,S COLLEGE MALL RD,PRIVATE,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,PRIVATEDRSCOLLEGEMALLRD,TRAFFIC CONTROL SIGNAL,2021-10-19 17:19:00
739,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,N GRANT ST,E 7TH ST,,,,39.16864,-86.529696,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OVERCORRECTING/OVERSTEERING,COLLISION WITH OBJECT IN ROAD,E7THSTNGRANTST,STOP SIGN,2021-10-19 17:29:00
740,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E 7TH ST,N GRANT ST,,,,39.16864,-86.529696,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,COLLISION WITH OBJECT IN ROAD,E7THSTNGRANTST,STOP SIGN,2021-10-19 18:38:00
741,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N INDIANA AVE,E 12TH ST,,,,39.174368,-86.527088,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,E12THSTNINDIANAAVE,STOP SIGN,2021-10-19 20:07:00
742,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,SR 45/46,E DISCOVERY PKWY,,,,,,STATE ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EASTDISCOVERYPKWYSR46S,NONE,2021-10-19 20:40:00
743,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,SR 446,,,300.0,S,39.04403837,-86.40723003,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,EHAYSRDSR446S,NONE,2021-10-19 21:09:00
744,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S WASHINGTON ST,E 2ND ST,,,,39.161358,-86.532394,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,E2NDSTWASHINGTONST,STOP SIGN,2021-10-19 21:23:00
745,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,I-69 N,,,50.0,S,,,INTERSTATE,N,URBAN,N,Y,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,I69N130.5,NONE,2021-10-18 04:09:00
746,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W 1ST ST,S MORTON ST,,100.0,W,39.15947687,-86.53662473,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,RIGHT TURN,1STSTMORTONST,LANE CONTROL,2021-10-18 06:46:00
747,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,SR 46,W RAYMOND RUN,,,,39.245757,-86.636716,STATE ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,RAYMONDRUNSR46W,LANE CONTROL,2021-10-18 07:15:00
748,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N COLLEGE AVE,W 10TH ST,,,,39.171744,-86.534768,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,LEFT TURN,NCOLLEGEAVEW10THST,NONE,2021-10-18 12:33:00
749,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,SR 46,N SALE ST (S),,,,39.23384,-86.624704,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SALESTSR46W,TRAFFIC CONTROL SIGNAL,2021-10-18 13:34:00
750,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,N KINSER PIKE,N SKYLINE DR,,,,39.193248,-86.539696,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NKINSERPIKENSKYLINEDR,STOP SIGN,2021-10-18 15:18:00
751,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,SR 46,N HARTSTRAIT RD,,,,,,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,HARTSTRAITRDSR46W,TRAFFIC CONTROL SIGNAL,2021-10-18 17:19:00
752,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,S ADAMS ST,,,400.0,E,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,SPATTERSONDRWADAMSST,NONE,2021-10-18 23:10:00
753,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,SR 46,N CURRY PIKE,,,,,,STATE ROAD,N,RURAL,N,Y,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,CURRYPIKESR46,TRAFFIC CONTROL SIGNAL,2021-10-17 00:15:00
754,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N JORDAN AVE,ENTRANCE TO JORDAN PARKING GARAGE,,,,,,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,NJORDANAVESR46,NONE,2021-10-17 12:31:00
755,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,W KIRKWOOD AVE,N ROGERS ST,,,,39.166672,-86.538608,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,KIRKWOODAVEROGERSST,TRAFFIC CONTROL SIGNAL,2021-10-17 12:33:00
756,MONROE SD,BLOOMINGTON,1,0.0,1.0,0,0,6020,,,SR 45,ENTRANCE TO NEW UNIONVILLE BAPTIST CHURCH,,500.0,W,39.209952,-86.463392,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,BETHELRDSR45E,LANE CONTROL,2021-10-17 13:37:00
757,BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0,0,,,,SR 48,S GATES DR,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,CONCRETE,DISREGARD SIGNAL/REG SIGN,LEFT TURN,SGATESDRW3RDST,NONE,2021-10-17 19:52:00
758,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W 3RD ST,,,500.0,W,39.16464,-86.534816,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,COLLISION WITH OBJECT IN ROAD,COLLEGEAVETHIRDST,LANE CONTROL,2021-10-17 23:46:00
759,BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0,0,,,,W 12TH ST,N MONROE ST,,500.0,E,39.174352,-86.547104,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE SPEED,SAME DIRECTION SIDESWIPE,12THSTMONROEST,NONE,2021-10-16 02:35:00
760,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,Y,SR 48,I-69 S,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,IMPROPER TURNING,RAN OFF ROAD,SBI69OFFRAMPRPW3RDST,TRAFFIC CONTROL SIGNAL,2021-10-16 03:48:00
761,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N FAIRVIEW ST,W 9TH ST,,,,39.170448,-86.540992,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,OPPOSITE DIRECTION SIDESWIPE,NFAIRVIEWSTW9THST,STOP SIGN,2021-10-16 04:57:00
762,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W 3RD ST,S CORY LN,,50.0,E,39.16455029,-86.55991978,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,3RDSTCORYLN,LANE CONTROL,2021-10-16 08:57:00
