_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime
1995,ISP BLOOMINGTON 33,BLOOMINGTON,1,,0.0,0,0,,,,I-69 S,N SR 37 BUSINESS,,0.0,,39.23645895,-86.5397351,INTERSTATE,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH OBJECT IN ROAD,I69123.5,,2021-05-29 16:45:00
1996,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,SR 46,S FRIENDSHIP RD,,,,39.15571233,-86.407794,STATE ROAD,N,RURAL,N,Y,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,FRIENDSHIPRDSR46E,NONE,2021-05-29 18:20:00
1997,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,SR 46,,,1000.0,W,39.16351024,-86.41786097,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF ROAD,NGETTYSCREEKRDSR46E,NONE,2021-05-28 00:13:00
1998,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,120,S,I-69 S,SR 46,,,,0.0,0.0,INTERSTATE,N,URBAN,N,Y,N,,DARK (LIGHTED),CLEAR,WET,,INTERCHANGE,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,I69S,NONE,2021-05-28 01:19:00
1999,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,E 3RD ST,S COLLEGE MALL RD,,200.0,N,39.18548174,-86.472159,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EAST3RDSTEASTSTATEROAD46ST,TRAFFIC CONTROL SIGNAL,2021-05-28 05:54:00
2000,MONROE SD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,N RIDGEWAY DR,W VALLEY VIEW DR (SE),,,,39.239952,-86.606704,LOCAL/CITY ROAD,Y,RURAL,N,N,N,,DAWN/DUSK,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,OTHER - EXPLAIN IN NARRATIVE,NRIDGEWAYDRWVALLEYVIEWDR,STOP SIGN,2021-05-28 06:45:00
2001,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,1.0,0.0,0,0,,,,S HAWTHORNE DR,E ATWATER AVE,,,,39.163089,-86.520197,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,RAN OFF ROAD,ATWATERAVEHAWTHORNELN,STOP SIGN,2021-05-28 07:50:00
2002,BLOOMINGTON PD,BLOOMINGTON,3,0.0,1.0,0,0,,,,E MOORES PIKE,S VALLEY FORGE RD,,200.0,W,39.150544,-86.502992,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EMOORESPIKESVALLEYFORGERD,NONE,2021-05-28 09:21:00
2003,ISP BLOOMINGTON 33,UNIONVILLE(MONROE),1,,0.0,0,0,,,,SR 45,N RUSSELL RD (N),,200.0,,39.20127719,-86.46745613,STATE ROAD,,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,RAILROAD CROSSINGS,,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,StateRd45RussellRd,,2021-05-28 09:40:00
2004,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,SR 45,S LIBERTY DR,,,,39.14685525,-86.57709754,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,LIBERTYDRSR45HWY,TRAFFIC CONTROL SIGNAL,2021-05-28 10:18:00
