Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime
BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0.0,0.0,,,,W 17TH,N KINSER PIKE,,,,39.178992,-86.537792,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,NKINSERPIKEW17THST,TRAFFIC CONTROL SIGNAL,2019-01-04 19:26:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,N WALNUT,W OLD SR 37,,,,39.250688,-86.529744,STATE ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,INTERCHANGE,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NWALNUTSTSR37N,NONE,2019-01-04 18:00:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,1870.0,,,S WALNUT,E NORTH DR,,500.0,N,39.144752,-86.531888,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,RAIN,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,1870SOUTHWALNUTSTEASTNORTHST,NONE,2019-01-04 17:13:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,W BLOOMFIELD,W ALLEN ST,,,,39.156255,-86.5609,,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,WALLENSTWBLOOMFIELDRD,LANE CONTROL,2019-01-04 13:20:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N WALNUT,W 6TH ST,,,,39.16733,-86.5336,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SIXTHSTWALNUTST,TRAFFIC CONTROL SIGNAL,2019-01-04 00:20:00
ISP BLOOMINGTON 33,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S CURRY,W GIFFORD RD,,250.0,N,0.0,0.0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,LEFT OF CENTER,HEAD ON BETWEEN TWO MOTOR VEHICLES,CURRYPIKEGIFFORDRD,LANE CONTROL,2019-01-04 08:55:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S SMITH,E MOORES PIKE,,400.0,S,39.10793776,-86.48046,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,EMOORESPIKESSMITHRD,LANE CONTROL,2019-01-04 21:58:00
ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,3.0,0.0,0.0,,,,SR 46,N LOVE LN,,330.0,W,39.22126695,-86.60579541,STATE ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,RIGHT ANGLE,LOVELNSR46W,NONE,2019-01-04 20:27:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,SR 45,I-69 S,Y,,,0.0,0.0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,SBI69ENTRANCERAMPWBLOOMFIELDRD,TRAFFIC CONTROL SIGNAL,2019-01-05 19:06:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0.0,0.0,,,,SR 45,N SMITH RD,,100.0,W,39.172752,-86.482288,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,HEAD ON BETWEEN TWO MOTOR VEHICLES,E10THSTSMITHRD,NONE,2019-01-05 06:56:00
BLOOMINGTON PD,BLOOMINGTON,3,0.0,1.0,0.0,0.0,,,,SR 45,N SMITH RD,,100.0,W,39.172752,-86.482288,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,OTHER - EXPLAIN IN NARRATIVE,E10THSTSMITHRD,NONE,2019-01-05 06:57:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S PARK RIDGE,SR 46,,50.0,S,39.16424,-86.476096,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E3RDSTSPARKRIDGERD,NONE,2019-01-05 16:04:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,7.0,0.0,0.0,,,,W 3RD,S CORY LN,,,,39.164544,-86.560096,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SCORYLNW3RDST,TRAFFIC CONTROL SIGNAL,2019-01-05 18:10:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,W ALLEN,W BLOOMFIELD RD,,,,39.156255,-86.5609,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,WALLENSTWBLOOMFIELDRD,STOP SIGN,2019-01-05 18:48:00
ISP BLOOMINGTON 33,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,SR 37,E MONROE DAM RD,,100.0,S,39.020048,-86.536096,STATE ROAD,N,RURAL,N,Y,N,,DAWN/DUSK,CLEAR,ICE,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,MONROEDAMRDSR37,LANE CONTROL,2019-01-05 07:05:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E ATWATER,N JORDAN AVE,,,,39.1631,-86.5164,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,ATWATERAVEJORDANAVE,TRAFFIC CONTROL SIGNAL,2019-01-05 21:25:00
ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0.0,0.0,,,,I-69 S,,,3000.0,N,0.0,0.0,INTERSTATE,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,IMPROPER LANE USAGE,REAR END,COLLEGEAVEI69S,LANE CONTROL,2019-01-05 21:40:00
MONROE SD,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,S OLD SR 37,S DELLSVILLE RD,,,,39.06614,-86.54152,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,T-INTERSECTION,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,SOUTHDELLSVILLERDSR37S,NONE,2019-01-05 05:04:00
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S OLD SR 37,S DELLSVILLE RD,,,,39.06614,-86.54152,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,T-INTERSECTION,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,SOUTHDELLSVILLERDSR37S,NONE,2019-01-05 05:43:00
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,SR 37,I-69 N,,100.0,S,0.0,0.0,STATE ROAD,Y,,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAMP,CURVE/GRADE,ASPHALT,IMPROPER LANE USAGE,OTHER - EXPLAIN IN NARRATIVE,I69NSR37N,NONE,2019-01-05 11:37:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,1.0,,,,SR 45,S GARRISON CHAPEL RD,,100.0,E,39.11108,-86.63820866,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,GARRISONCHAPPELRDSR45W,NONE,2019-01-05 15:31:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,SR 45,,,756.0,E,0.0,0.0,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ROADWAY SURFACE CONDITION,RAN OFF ROAD,SPARKSLNSR45W,LANE CONTROL,2019-01-05 04:28:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,SR 46,S LORI LN,,250.0,W,39.16627714,-86.46685431,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,LORILNSR46E,NONE,2019-01-05 07:37:00
ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0.0,0.0,,,,SR 46,W MAPLE GROVE RD,,400.0,E,39.24574,-86.63675465,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,REAR END,REDHIILRDSR46W,LANE CONTROL,2019-01-05 11:50:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S ROGERS,W 3RD ST,,,,39.16472,-86.538592,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SOUTHROGERSSTWEST3RDST,TRAFFIC CONTROL SIGNAL,2019-01-06 13:02:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,SR 46,SR 46,,,,39.16424,-86.473296,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OVERCORRECTING/OVERSTEERING,RAN OFF ROAD,E3RDSTSR46N,TRAFFIC CONTROL SIGNAL,2019-01-07 15:50:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N COLLEGE,W KIRKWOOD AVE,,30.0,N,39.16664,-86.5348,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,WRONG WAY ON ONE WAY,RIGHT ANGLE,NCOLLEGEAVEWKIRKWOODAVE,NONE,2019-01-07 16:35:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E 3RD,S HILLSDALE DR,,300.0,E,39.164272,-86.502416,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,REAR END,E3RDSTSHILLSDALEDR,NONE,2019-01-07 15:09:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E KIRKWOOD,S WASHINGTON ST,,,,39.16664,-86.5324,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,EKIRKWOODAVESWASHINGTONST,STOP SIGN,2019-01-07 16:46:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,2.0,0.0,0.0,,,,I-69 S,,,300.0,S,41.23833117,-85.09281739,INTERSTATE,N,URBAN,N,N,Y,WORK ON SHOULDER,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF ROAD,I69S120,NONE,2019-01-07 03:35:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,S CURRY,W ROLL AVE,,,,39.1472,-86.58259,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,RAN OFF ROAD,SCURRYPIKEWROLLAVE,STOP SIGN,2019-01-07 15:27:00
ISP BLOOMINGTON 33,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,SR 46,E TRAILWAY DR,,1000.0,E,39.16355934,-86.42589328,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE SPEED,REAR END,SR46TRAILWAYDR,LANE CONTROL,2019-01-07 12:05:00
ISP BLOOMINGTON 33,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,SR 46,,,450.0,W,0.0,0.0,STATE ROAD,Y,RURAL,N,N,N,,DAWN/DUSK,CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,I69SR46,LANE CONTROL,2019-01-07 18:20:00
MONROE SD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,4111.0,,,W VERNAL,,,,,39.17753,-86.58026,UNKNOWN,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,SAME DIRECTION SIDESWIPE,WESTVERNALPIKE,NONE,2019-01-07 23:11:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,SR 46 ,E 3RD ST,,,,39.16424,-86.473296,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,FOUR-WAY INTERSECTION,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,3RDSTSR46RD,TRAFFIC CONTROL SIGNAL,2019-01-08 07:29:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,SR 48,S CURRY PIKE,,,,39.16464333,-86.58301666,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,NORTHCURRYPIKEWEST3RDST,TRAFFIC CONTROL SIGNAL,2019-01-08 06:33:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,SR 48,S GATES DR,,,,39.164785,-86.576035,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,3RDSTGATESDR,TRAFFIC CONTROL SIGNAL,2019-01-08 11:10:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,4531.0,,,SR 46,SR 446,,,,39.164288,-86.473488,UNKNOWN,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,RAN OFF ROAD,E3RDST,TRAFFIC CONTROL SIGNAL,2019-01-08 21:13:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S WALNUT,E MILLER DR,,1300.0,S,39.146944,-86.532544,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EASTMILLERRDSOUTHWALNUTST,LANE CONTROL,2019-01-08 16:14:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,1315.0,,,E 10TH,,,,,39.17157943,-86.51826514,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,E10THST,NONE,2019-01-08 12:30:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,1.0,,,,N HARTSTRAIT,W WOODYARD RD,,,,0.0,0.0,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,HARTSTRAITRDWOODYARDRD,STOP SIGN,2019-01-08 00:16:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,N UNION VALLY,W MAPLE GROVE RD,,900.0,N,39.244752,-86.5928,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),SEVERE CROSS WIND,DRY,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH OBJECT IN ROAD,NUNIONVALLYRDWMAPLEGROVERD,NONE,2019-01-08 23:48:00
